word,timing,time_running
Once,0.26,0.26
upon,0.16,0.42
a,0.28,0.7
"time,",0.29,0.99
in,0.14,1.13
a,0.21,1.34
quaint,0.08,1.42
little,0.27,1.69
village,0.42,2.11
nestled,0.33,2.44
between,0.22,2.66
the,0.07,2.73
rolling,0.29,3.02
hills,0.32,3.34
and,0.14,3.48
the,0.26,3.74
whispering,0.45,4.19
"woods,",0.37,4.56
there,0.11,4.67
lived,0.14,4.81
a,0.5,5.31
couple,0.24,5.55
whose,0.2,5.75
love,0.24,5.99
was,0.16,6.15
the,0.24,6.39
stuff,0.19,6.58
of,0.41,6.99
legends.,0.3,7.29
Their,0,7.29
"children,",0.34,7.63
an,0.62,8.25
incomprehensibly,0.73,8.98
delightful,0.4,9.38
"bunch,",0.15,9.53
were,0.11,9.64
the,0.19,9.83
living,0.09,9.92
testament,0.26,10.18
to,0.16,10.34
their,0.44,10.78
unwavering,0.51,11.29
devotion.,0.76,12.05
As,0.15,12.2
they,0.09,12.29
exchanged,0.39,12.68
their,0.21,12.89
vows,0.16,13.05
"unimpeachable,",0.39,13.44
the,0.22,13.66
entire,0.26,13.92
village,0.17,14.09
bore,0.32,14.41
witness,0.25,14.66
to,0.13,14.79
the,0.33,15.12
blossoming,0.35,15.47
of,0.12,15.59
a,0.16,15.75
love,0.22,15.97
that,0.18,16.15
would,0.31,16.46
weather,0.16,16.62
the,0.37,16.99
fiercest,0.51,17.5
storms.,0.33,17.83
"However,",0.43,18.26
as,0.23,18.49
time,0.21,18.7
went,0.17,18.87
by,0.08,18.95
and,0.21,19.16
life's,0.45,19.61
challenges,0.43,20.04
began,0.16,20.2
to,0.18,20.38
take,0.21,20.59
their,0.25,20.84
"toll,",0.21,21.05
their,0.22,21.27
once,0.31,21.58
vibrant,0.17,21.75
relationship,0.51,22.26
became,0.32,22.58
"depressed,",0.36,22.94
casting,0.26,23.2
a,0.23,23.43
shadow,0.33,23.76
over,0.2,23.96
the,0.3,24.26
once,0.27,24.53
joyful,0.56,25.09
family.,0.27,25.36
Little,0.2,25.56
did,0.18,25.74
they,0.19,25.93
know,0.23,26.16
that,0.2,26.36
this,0.28,26.64
journey,0.3,26.94
would,0.19,27.13
lead,0.21,27.34
them,0.15,27.49
to,0.38,27.87
rediscover,0.3,28.17
the,0.07,28.24
true,0.33,28.57
essence,0.25,28.82
of,0.3,29.12
love,0.23,29.35
and,0.41,29.76
"commitment,",0.3,30.06
and,0.3,30.36
ultimately,0.27,30.63
strengthen,0.27,30.9
the,0.07,30.97
bonds,0.12,31.09
that,0.21,31.3
held,0.18,31.48
them,0.3,31.78
together.,0.3,32.08
One,0.29,32.37
fateful,0.37,32.74
"morning,",0.36,33.1
as,0.16,33.26
the,0.23,33.49
first,0.29,33.78
light,0.12,33.9
of,0.16,34.06
dawn,0.32,34.38
crept,0.32,34.7
through,0.15,34.85
the,0.3,35.15
"curtains,",0.3,35.45
the,0,35.45
neighbor,0.22,35.67
came,0.25,35.92
over,0.31,36.23
with,0.15,36.38
an,0.33,36.71
invitation,0.21,36.92
to,0.13,37.05
a,0.23,37.28
village-wide,0.24,37.52
celebration,0.38,37.9
of,0.26,38.16
movement,0.27,38.43
and,0.35,38.78
dance.,1.12,39.9
Intrigued,0.38,40.28
by,0.13,40.41
the,0,40.41
prospect,0.31,40.72
of,0.41,41.13
rekindling,0,41.13
their,0.46,41.59
passion,0.12,41.71
through,0.16,41.87
the,0.18,42.05
rhythmic,0.3,42.35
sway,0.19,42.54
of,0.17,42.71
their,0.3,43.01
"bodies,",0.3,43.31
the,0.2,43.51
couple,0.47,43.98
hesitantly,0.43,44.41
agreed,0.26,44.67
to,0.3,44.97
participate.,0.3,45.27
As,0.15,45.42
he,0.22,45.64
came,0.36,46
"downstairs,",0.3,46.3
still,0.32,46.62
rubbing,0.2,46.82
the,0.3,47.12
sleep,0.22,47.34
from,0.18,47.52
his,0.24,47.76
"eyes,",0.4,48.16
their,0.23,48.39
eldest,0.3,48.69
son,0.25,48.94
comes,0.09,49.03
running,0.21,49.24
with,0.12,49.36
an,0.29,49.65
infectious,0.52,50.17
"excitement,",0.26,50.43
eager,0.18,50.61
to,0.23,50.84
join,0.23,51.07
in,0.11,51.18
the,0.4,51.58
festivities.,0.3,51.88
