expl,top_ngrams_module_correct,subject,prompt_suffix
Introspection,"['he reflected', 'she thought back', 'they thought hard', ""hm that's interesting"", 'ah yes', 'thought carefully', 'full of introspection']",UTS03,Avoid mentioning conversations or dialogue interactions between people.
Relationships,"['brother and sister', 'he was a good friend', 'a wonderful uncle', 'just like her father', 'boyfriend', 'wife', 'aunt']",UTS03, Avoid mentioning conversations or dialogue interactions between people.
Times,"[""one o'clock""]",UTS03," Avoid mentioning any numbers, measurements, or years. "
Years,"['of nineteen sixty', 'until nineteen sixty', 'until nineteen seventy', 'of nineteen ninety']",UTS03," Avoid mentioning any numbers, measurements, or times of day. (like ""three o'clock"" or ""hours"" or ""fifty"")"
Travel and location names,"['was led upstairs', 'onto the subway', 'to the hallway', 'drove to washington', 'back through london', 'and darted downstairs', 'past the offices', 'long hallway toward', 'down the sidewalk', 'back in manhattan', 'reached the interstate', 'just blocks away', 'drove from vermont', 'was standing outside', 'to a courtyard', 'in the alley', 'up the coast', 'from my dorm', 'in the courtyard', 'in central park', 'i walk outside', 'here in manhattan', 'darted downstairs', 'facing the beach', 'walk through downtown', 'wander the hallways', 'i ran downstairs', 'down the hall', ""'m standing outside"", 'off into vancouver', 'through the streets', 'sitting in indianapolis', 'on sixth avenue', 'i go upstairs', 'across the street', 'arrived in indianapolis', 'we were downtown']",UTS03,
Dialogue,"['he said', 'she said', 'they whispered', 'he chimed in', '""wow!""', '""hello""', 'he shouted', 'she responded']",UTS03, Avoid mentioning the people involved in the conversation.
Gruesome body imagery,"['my scalp peeled', 'soaked with sweat', 'eyes were swollen', 'of skin peeled', 'legs were swollen', 'swollen and red', 'burned the skin', 'blood was trickling', 'skin was bubbling']",UTS03,
Numbers,"['five', 'twenty', 'three hundred', 'a million', 'forty six', 'ninety one']",UTS03, Avoid mentioning any measurements or times.
Scenes and settings,"['in an alcove', 'on the stoop', 'past the offices', 'against the railing', 'on the windowsill', 'in the alley', 'to a courtyard', 'the copier room', 'in the courtyard', 'this long hallway', 'to the hallway', 'on a dock', 'in the hallway', 'long hallway toward', 'outside the windows', 'on that terrace', 'inside the hut', 'railing looking out', 'through the windows', 'down this embankment', 'on the subway', 'onto the subway', 'there were shelves', 'in my cubicle', 'a strip mall', 'on the sidewalk', 'in the colonnade', 'on the railing', 'into the basement', 'across the parking', 'a restaurant stoop', 'onto the railing', 'exit the subway', 'by the window', 'in that attic', 'was led upstairs', 'in the basement', 'the food court', 'and the courtyard', 'in the cafeteria', 'hall past the', 'into the parking', 'in the windowless', 'back room where', 'on my bed', 'down the sidewalk', 'contain strip malls', 'onto the sidewalk', 'the hall closet', 'at those cliffs']",UTS03," Avoid mentioning any specific location names (like ""New York"" or ""Europe"")."
Measurements,"['two mile thick', 'eighty milligrams', 'two hundred gallons', 'several hundred cubic', 'eight thousand square', 'to fifty feet']",UTS03," Avoid mentioning any numbers or times. (like ""three o'clock"" or ""hours"" or ""fifty"")"
Colors,"['my black chevy', 'a bumpy orange', 'and frosty pink', 'of cornfields amber', 'bands of lavender']",UTS03,
Clothing and Physical Appearance,"['in his beret', 'in a bathrobe', 'a red hoodie', 'blonde hair dangling', 'his flannel shirt', 'ancient blue hatchback', 'his tan uniform', 'was wearing black', 'wore flannel']",UTS03,
Direction and location descriptions,"['railing looking out', 'across a plateau', 'up the coast', 'against the railing', 'in the courtyard', 'up the hill', 'above the gulf', 'outside the windows', 'long hallway toward', 'over the gulf', 'past the offices', 'through the windows', 'beside the river', 'past the waterfall', 'across the bridge', 'this long hallway', 'to a courtyard', 'and the courtyard', 'and behind me', 'down this embankment', 'towards the river', 'the hill up', 'courtyard was surrounded', 'in an alcove', 'onto the railing', 'along the coast', 'up the stairs', 'across the quadrangle', 'facing the beach', 'to the north', 'down the corridor', 'through the gates', 'over the embankment', 'onto the bridge', 'down that corridor', 'down the sidewalk', 'i looked across', 'path that jutted', 'through this door', 'the lagoon behind', 'down the embankment', 'on the railing', 'on the embankment', 'through the doors', 'on the windowsill', 'corridor out onto', 'the buildings beside', 'to the hallway', 'by that window', 'past the city', 'door behind me', 'to the south', 'off the coast', 'cross the bering', 'around the reef', 'behind me i', 'driveway and behind', 'against the windows', 'across the street', 'to the shoreline', 'lagoon behind the', 'on the sidewalk', 'hall past the', 'off the east', 'of the ravine', 'surrounded the city', 'in the window', 'southern shore of', 'in the distance', 'onto the sidewalk', 'i look across', 'behind us i', 'behind us there', 'on the cliff', 'over the river', 'toward the ocean', 'on that terrace', 'row of stalls', 'sidewalk in front', 'down the long', 'on the walls', 'door to the', 'by the window', 'outside my door', 'outside the door', 'across from me', 'on the eastern', 'the hall past', 'down the lagoon', 'in the forest', 'that window in', 'around me the', 'to the barrier', 'the gulf where', 'road in front', 'in the hallway', 'across the parking', 'in the colonnade', 'to the western', 'surrounded by rooms']",UTS03," Avoid mentioning any specific location names (like ""New York"" or ""Europe"")."
