word,timing,time_running
Once,0.25,0.25
upon,0.19,0.44
a,0.3,0.74
"time,",0.22,0.96
in,0.11,1.07
a,0.28,1.35
quaint,0.27,1.62
little,0.26,1.88
town,0.38,2.26
nestled,0.31,2.57
between,0.27,2.84
rolling,0.19,3.03
hills,0.24,3.27
and,0.19,3.46
lush,0.46,3.92
"forests,",0.51,4.43
there,0.18,4.61
was,0.12,4.73
a,0.32,5.05
bustling,0.22,5.27
marketplace,0.42,5.69
where,0.26,5.95
people,0.26,6.21
from,0.16,6.37
all,0.31,6.68
walks,0.17,6.85
of,0.2,7.05
life,0.44,7.49
gathered,0.16,7.65
to,0.22,7.87
share,0.18,8.05
their,0.08,8.13
love,0.21,8.34
for,0.21,8.55
food,0.32,8.87
preparation,0.42,9.29
and,0.17,9.46
laughter.,0.15,9.61
The,0.17,9.78
marketplace,0.45,10.23
was,0.12,10.35
a,0.23,10.58
melting,0.3,10.88
pot,0.14,11.02
of,0.22,11.24
diverse,0.42,11.66
"locations,",0.6,12.26
each,0.33,12.59
stall,0.42,13.01
representing,0.36,13.37
a,0.23,13.6
different,0.35,13.95
corner,0.51,14.46
of,0.17,14.63
the,0.24,14.87
"world,",0.45,15.32
offering,0.35,15.67
unique,0.3,15.97
flavors,0.17,16.14
and,0.31,16.45
culinary,0.3,16.75
delights.,0.3,17.05
The,0.19,17.24
air,0.16,17.4
was,0.18,17.58
filled,0.14,17.72
with,0.13,17.85
the,0.09,17.94
aroma,0.19,18.13
of,0.28,18.41
exotic,0.3,18.71
spices,0.33,19.04
and,0.13,19.17
the,0.24,19.41
sound,0.16,19.57
of,0.25,19.82
measuring,0.29,20.11
cups,0.3,20.41
clinking,0.28,20.69
against,0.33,21.02
one,0.21,21.23
another,0.32,21.55
as,0.28,21.83
vendors,0.55,22.38
meticulously,0.55,22.93
crafted,0.22,23.15
their,0.26,23.41
dishes.,0.3,23.71
Time,0.31,24.02
seemed,0.25,24.27
to,0.23,24.5
slow,0.2,24.7
down,0.17,24.87
in,0.22,25.09
this,0.28,25.37
vibrant,0.24,25.61
"hub,",0.3,25.91
as,0.25,26.16
people,0.4,26.56
savored,0.4,26.96
every,0.26,27.22
moment,0.24,27.46
spent,0.25,27.71
with,0.31,28.02
friends,0.19,28.21
and,0.28,28.49
"family,",0.41,28.9
creating,0.14,29.04
memories,0.32,29.36
that,0.16,29.52
would,0.25,29.77
last,0.18,29.95
a,0.2,30.15
lifetime.,0.3,30.45
As,0.16,30.61
the,0.21,30.82
sun,0.2,31.02
made,0.14,31.16
its,0.16,31.32
way,0.3,31.62
across,0.33,31.95
the,0.23,32.18
"sky,",0.39,32.57
casting,0.28,32.85
a,0.23,33.08
warm,0.28,33.36
golden,0.28,33.64
glow,0.17,33.81
over,0.16,33.97
the,0.3,34.27
"marketplace,",0.3,34.57
the,0.47,35.04
anticipation,0.21,35.25
for,0.12,35.37
the,0.26,35.63
annual,0.17,35.8
cooking,0.43,36.23
competition,0.46,36.69
grew,0.35,37.04
stronger.,0.54,37.58
The,0.36,37.94
town's,0.34,38.28
clock,0.27,38.55
tower,0.31,38.86
"chimed,",0.79,39.65
signaling,0.35,40
the,0.27,40.27
start,0.19,40.46
of,0.15,40.61
the,0.3,40.91
"event,",0.61,41.52
and,0.38,41.9
participants,0.56,42.46
began,0.16,42.62
to,0.23,42.85
count,0.23,43.08
down,0.18,43.26
the,0.21,43.47
minutes,0.26,43.73
until,0.17,43.9
they,0.14,44.04
would,0.26,44.3
showcase,0.33,44.63
their,0.3,44.93
culinary,0.21,45.14
masterpieces.,0.7,45.84
With,0.18,46.02
each,0.33,46.35
tick,0.14,46.49
of,0.16,46.65
the,0.3,46.95
"clock,",0.3,47.25
excitement,0.43,47.68
bubbled,0.24,47.92
within,0.23,48.15
them,0.3,48.45
like,0.12,48.57
a,0.2,48.77
pot,0.27,49.04
on,0.12,49.16
the,0.31,49.47
verge,0.21,49.68
of,0.35,50.03
boiling,0.43,50.46
over.,0.33,50.79
As,0.13,50.92
the,0.3,51.22
final,0.28,51.5
three,0.3,51.8
seconds,0.34,52.14
"approached,",0.85,52.99
contestants,0.52,53.51
hurriedly,0.3,53.81
put,0.26,54.07
finishing,0.36,54.43
touches,0.24,54.67
on,0.16,54.83
their,0.24,55.07
"dishes,",0.26,55.33
their,0.19,55.52
hearts,0.3,55.82
racing,0.27,56.09
at,0.11,56.2
a,0.3,56.5
pace,0.14,56.64
of,0.26,56.9
three,0.25,57.15
beats,0.18,57.33
a,0.26,57.59
second.,0.3,57.89
Time,0.25,58.14
seemed,0.14,58.28
to,0.29,58.57
be,0.22,58.79
both,0.22,59.01
an,0.23,59.24
ally,0.25,59.49
and,0.4,59.89
an,0.36,60.25
adversary,0.17,60.42
in,0.19,60.61
this,0.22,60.83
high-stakes,0.52,61.35
"contest,",0.17,61.52
as,0.38,61.9
each,0.43,62.33
participant,0.28,62.61
hoped,0.27,62.88
to,0.2,63.08
prove,0.21,63.29
that,0.2,63.49
their,0.15,63.64
dish,0.26,63.9
was,0.19,64.09
worthy,0.18,64.27
of,0.42,64.69
being,0.22,64.91
crowned,0.3,65.21
the,0.15,65.36
winner.,0.18,65.54
As,0.38,65.92
the,0.39,66.31
competition,0.24,66.55
reached,0.21,66.76
its,0.33,67.09
"peak,",0.27,67.36
the,0.26,67.62
judges,0.23,67.85
made,0.16,68.01
their,0.24,68.25
way,0.15,68.4
through,0.32,68.72
the,0.58,69.3
bustling,0.3,69.6
"marketplace,",0.32,69.92
sampling,0.22,70.14
each,0.15,70.29
dish,0.26,70.55
with,0.37,70.92
great,0.28,71.2
care,0.3,71.5
and,0.3,71.8
attention.,0.32,72.12
The,0.42,72.54
contestants,0.16,72.7
held,0.23,72.93
their,0.23,73.16
"breath,",0.3,73.46
counting,0.19,73.65
down,0.24,73.89
the,0.27,74.16
seconds,0.22,74.38
until,0.35,74.7299999999999
their,0,74.7299999999999
creations,0.28,75.01
were,0.35,75.3599999999999
tasted,0.33,75.6899999999999
and,0.3,75.9899999999999
evaluated.,0.22,76.2099999999999
Just,0.16,76.3699999999999
as,0.3,76.6699999999999
the,0.26,76.9299999999999
judges,0.17,77.0999999999999
were,0.24,77.3399999999999
about,0.3,77.6399999999999
to,0.24,77.8799999999999
announce,0.3,78.1799999999999
their,0.51,78.6899999999999
"decision,",0.32,79.0099999999999
the,0.34,79.3499999999999
doorbell,0.3,79.6499999999999
rang,0.16,79.8099999999999
at,0.25,80.0599999999999
the,0.27,80.3299999999999
entrance,0.16,80.4899999999999
of,0.34,80.8299999999999
the,0.3,81.1299999999999
"marketplace,",0.31,81.4399999999999
drawing,0.56,81.9999999999999
everyone's,0.3,82.2999999999999
attention.,0.23,82.5299999999999
A,0.3,82.8299999999999
moment,0.4,83.2299999999999
"later,",0.36,83.5899999999999
a,0.43,84.0199999999999
mysterious,0.31,84.3299999999999
figure,3.6,87.9299999999999
"entered,",0.22,88.1499999999999
carrying,0.29,88.4399999999999
a,0.08,88.5199999999999
covered,0.17,88.6899999999999
dish,0.08,88.7699999999999
that,0.36,89.1299999999999
exuded,0.31,89.4399999999999
an,0.24,89.6799999999999
enticing,0.07,89.7499999999999
aroma.,0.24,89.9899999999999
The,0.3,90.2899999999999
crowd,0.3,90.5899999999999
murmured,0.3,90.8899999999999
in,0.43,91.3199999999999
curiosity,0.13,91.4499999999999
as,0.29,91.7399999999999
the,0.39,92.1299999999999
stranger,0.31,92.4399999999999
approached,0.22,92.6599999999999
the,0.33,92.9899999999999
judges',0.31,93.2999999999999
table,0.24,93.5399999999999
and,0.3,93.8399999999999
unveiled,0.3,94.1399999999999
their,0.3,94.4399999999999
dish.,0.26,94.6999999999999
Time,0.25,94.9499999999999
seemed,0.54,95.4899999999999
to,0.18,95.6699999999999
stand,0.23,95.8999999999999
still,0.26,96.1599999999999
as,0.18,96.3399999999999
the,0.27,96.6099999999999
