input,label
Screensaver Strikes Back at Spammers,1
"Sony, IBM, and Toshiba Reveal Additional Details on Cell Chip",1
Google Enhances Discussion Groups,1
NASA Finishes Redesigned Shuttle Fuel Tank (Reuters),1
Microsoft finalises three-year government deal,1
Is Apple Photogenic?,1
Voting Machines Remain Unsecured--Experts,1
VeriSign bundles authentication tools,1
"Card fraud unit nets 36,000 cards",1
Gates and Ballmer get pay raises,1
Bluetooth flying bot creates buzz,1
"Blockbuster Cuts Online Price, Challenges Netflix (Reuters)",1
ObjectWeb adds portal content management middleware,1
Dual Internal Clocks Control Fruit Flies -Study (Reuters),1
"Intel Posts Higher Profit, Sales",1
"Cape Clear, Neon in Web services deal",1
Environment check from crab urine,1
Firefox - Ready To Take On Internet Explorer?,1
Security firm justifies virus writer's job,1
E-Mail And IM Get Closer,1
Photo: SGI's Columbia supercomputer,1
Tabbed Browsing Flaws Detected,1
Old bones unearth new date for giant deer #39;s last stand,1
Music industry group sues 750 for file sharing,1
Groups Offers Beer for Blood Donations (AP),1
Nasa to resume shuttle missions,1
Court rules against state Web-blocking law,1
Microsoft braces for crucial TV test,1
"Small computers can have multiple personalities, too",1
Nintendo moving into online within 3 to 4 years,1
Discoverer of DNA Fingerprinting Has Concerns About Technology,1
Apple and U2 co-host autumn music special,1
Microsoft makes Exchange road map more mirky,1
"Sun looks for props with new server, storage hardware",1
Lawmakers give the space agency greater flexibility in its new &lt;b&gt;...&lt;/b&gt;,1
"103 arrests for Internet fraud, related crimes since June: US (AFP)",1
The Mozilla Firefox 1.0 is out!,1
First Flight of a Wild Condor Chick in California,1
Xandros rolls out Linux desktop management app,1
Drive maker files counterclaims in patent suit,1
Scammers Could Hijack Pop-Ups,1
New Game in Town: ESPN Phone,1
Europeans Eat Less of Dangerous Fatty Foods,1
NetApp CEO: No Storage Spending Shortfall (TechWeb),1
Patch in for Microsoft server spoofing flaw,1
Google Stock Slips as New Shares Hit Market,1
"Blame player, not game",1
AOL beefs up its homeland security,1
NASA  #39;scramjet #39; makes historic flight off California,1
Firms announce video antipiracy technology,1
Sony reveals some specs for PSP handheld,1
Sun acquisition to boost IT services portfolio,1
"Software Licensing Moving Toward Subscription, Utility Models (Ziff Davis)",1
IBM Releasing New Power5-Based Servers,1
China's Lenovo in talks with 'major IT firm' for acquisition (AFP),1
Marathoning mice could have Olympian effects on obesity,1
Tracking Service Aims to Ease Product Returns (Ziff Davis),1
HP Joins with JBoss on Server Support,1
Orion Debuts Cluster Workstation,1
Intel Sheds Light on 2005 Desktop Strategy,1
"Barents Sea Under Threat from Fishing, Oil (Reuters)",1
Wiretapping on the Net: Who pays?,1
IBM posts broad Q3 revenue growth,1
Juniper Takes A Nip Out Of Cisco (BusinessWeek Online),1
California group sues Albertson's over privacy concerns,1
Bea Arthur for President,1
Who is Hurt by Microsoft #39;s Neglect of Older Browsers?,1
Sims 2 plays with life addicts,1
Great White Shark Loses Monitor Tag (AP),1
Obesity Raises Risk for 9 Different Types of Cancer,1
Iran shuts reformist websites,1
"Microsoft, Polycom team on collaboration products",1
Nokia announces Near Field Communication products,1
"Nokia, NEC Test New IP Multimedia Subsystem",1
Thunderbird email client goes gold,1
NetRatings survey shows broadband users now a majority in US,1
Intel lauds milestone in shrinking chips,1
IBM protects passwords with PC chip,1
Intel silent on Jayhawk replacement,1
Australia Police to Trap Cyberspace Pedophiles (Reuters),1
