input,label
"nobody talks about what happened five years ago, but something shifts beneath the surface of their lives a secret that won't stay buried.",1
"also, there are motorcyclists around to bring momentum to the players.",1
"one night, tobias knifes his father in the back, and escape to switzerland.",1
"in the ensuing chaos, inez discovers the thorny side of true love and that finding one's soul mate is never quite what you'd expect.",1
the worst pain for him is the next 5 minutes of living.,1
"a man who travels back to the house of his father, grandfather and backwards.",1
"but before he is able to set out on his expedition, the professor, along with the tablet, are taken hostage by a group of mercenaries, led by the vicious philipe gallo.",1
lieutenant hart must then defend the black pilot against charges before an obviously racist american tribunal; unaware that the trial itself is only a front for the real secret of the prison camp.,1
"just when it seems martha's influence may be having a favorable effect on greg's attitude, his old ways win out.",1
three astronauts crash land on an earth-like planet after returning from a 7-year long expedition to ganymede.,1
"the next day, cac&#225; is attacked by two street kids who wanted some money, and thinks pqd is somehow involved.",1
"kidnapper jash uploads the video clip of anna being tortured onto the internet, which instantly becomes the talk of hong kong.",1
"sam and ash become good friends as they fight to save celebi from the new team rocket villain, the iron-masked marauder and his darkball, which turns pok&#233; mon evil and augments their powers to the maximum.",1
"forced to think fast, the producer decides to digitally create an actress "" simone "" to sub for the star--the first totally believable synthetic actress.",1
"marly temple is living her father's dream of running a motel, only it has become her nightmare.",1
we follow the wacky exploits of the town's inhabitants from sassy saloon girls and amazonian behemoth parrots to hypnotist dentists and 400-pound tooth fairies.,1
"a steroid of sorts, it drives whoever takes the drugs to kill.",1
"horace and colt, a fifty-something married couple, are divided-they have lost the key, to their room and to each other.",1
"with david carradine, theo van gogh, kate clarke and henry jaglom-featuring a soundtrack by grammy nominated composer willie wisely, who also plays the lead character, willie vincent.",1
"staked-out in his one-bedroom apartment with his kidnap victim, brian (justin bartha), gigli soon realizes that what he thought would be a routine assignment soon becomes a tumultuous task.",1
"she finds jack's captivity an irresistible turn-on and he can't figure out if she's for real, or manipulating him, too.",1
"with the help of another innocent prisoner (richard harris), he escapes the island and proceeds to transform himself into the wealthy count of monte cristo as part of his plan to exact revenge.",1
while staking out his next assignment--the innocent girlfriend of his notorious boss--contract killer malik reflects on the dark path he's chosen but cannot escape.,1
the cousins work nights at a local mall as security guards.,1
"in this sense it is merely a travelogue, yet there is so much more, spanning from the traditional to the avant-garde, from the sublime to the ridiculous, very different, highly original and with a unique zeitgeist narrative structure.",1
"a virus has escaped in a secret facility called "" the hive, "" turning the staff into hungry zombies and releasing the mutated lab "" animals "" that they were studying.",1
"harboring a secret, john guides angela to a shocking realization that will uncover the past.",1
"but after he's done his "" day job "" matt takes on a secret identity as "" the man without fear, "" daredevil, the masked avenger that patrols the neighborhood of hell's kitchen and new york city to combat the injustice that he cannot tackle in the courtroom.",1
ted can't turn the ladies heads like he used to-none of the scams work.,1
"the story of ussr's first nuclear ballistic submarine, which suffered a malfunction in its nuclear reactor on its maiden voyage in the north atlantic in 1961.",1
