input,label
"At Trade, Anson danced extremely frantically",1
That he ever went there alone is odd.,1
Bill's mother's friends and John are waiting at the restaurant.,1
These plants may grow as high as 6 feet.,1
Cheese mice love stinks.,1
That he has blood on his hands proves that John is the murderer.,1
No man has ever beaten the centaur.,1
The explorers cut their way through the jungle.,1
They have no car.,1
only the student left.,1
Plays and ballets alternate.,1
The oil and vinegar separated.,1
I read his every book.,1
Webster touched a sword after Henry had done so.,1
John has chosen Bill for the position.,1
More than two students attended every seminar.,1
I walk.,1
"This guitar, I've sung folk songs and accompanied myself on it all my life.",1
Susan wanted Jane to study German.,1
I believed that Otto was wearing this hat.,1
They praised them as volunteers.,1
Tom will force you to marry no student.,1
Michael left Meg,1
Crystal vases break easily.,1
Whom did Matt kiss?,1
John learned French perfectly.,1
Angela characterized Shelly as a lifesaver.,1
Bill pounded the metal.,1
June covered the baby with a blanket.,1
John sounded happy.,1
John can't even open an umbrella!,1
This metal hammers flat easily.,1
"The more you eat, the less you want.",1
Rory eats.,1
I saw enough of the fool to be convinced.,1
He replied that he was happy.,1
Did the wealthy young man buy that piano for his secret fiancée?,1
"He can't possibly do that, can he",1
You British and you Americans pamper yourselves.,1
A choir sang in the church.,1
Who was it who interviewed you?,1
Kim and Sandy is looking for a new bicycle.,1
Bill's reading Shakespeare and Maureen's singing Schubert satisfy me,1
The bed was slept in by the Shah.,1
Calvin will be eating.,1
John believes that Bill saw him.,1
It was in the barn or it took place in the barn.,1
Mary and an old friend who comes from Miami kissed.,1
John is taller than that man is.,1
John believed that he is honest.,1
Julie maintained her own ideas over the course of the argument.,1
It annoys people that dogs bark.,1
Tom will not leave.,1
Mika loved the policeman intensely and Susan did so half heartedly.,1
"Kim can dance, and Sandy can, too.",1
Tom drives the way that that man drives.,1
The teacher is proud of his students.,1
He made a statement everyone thought was interesting and important.,1
I expect soon to see the results.,1
They specialized.,1
"Sean Penn can act well in many kinds of movies, can't he act well in many kinds of movies?",1
They depend on Mary.,1
Frank hopes to persuade Harry to make the cook wash the dishes.,1
Jean wants Robert.,1
She said that into the room came Aunt Norris.,1
My uncle doesn't have a spouse but your aunt does and he is lying on the floor.,1
The tree changed from a maple into an oak.,1
It was John and Bill that were waiting at the restaurant.,1
The audience laughed.,1
We believe that the directors were present.,1
This hat Tom said Al thought you wanted me to make Jack put on.,1
Mary really appreciates and constantly praises herself and Sue knows it.,1
Kick them!,1
The trees sang with birds.,1
John is tough to persuade.,1
John received the parcel.,1
He ate so much that he got sick.,1
They elected Graham chairman.,1
Tatiana wrote to Onegin.,1
Tom seems eager for her brother to catch a cold.,1
We just finished the final exam the result of which we can find out next week.,1
The Dodgers beat the Red Sox and the Dodgers were beaten by the Giants.,1
I had eaten the deep fried muffins.,1
Bill believes Anna and him to be similar.,1
The crew have both agreed to change sponsor.,1
John drove the car.,1
