input,label
""" hundreds of people have been evacuated , most of them from the masirah island , "" an oman civil defence department spokesman said , adding that some of the evacuees had been taken to muscat .",1
UN Refugee Agency says that because of Boko Haram terrorist attacks thousands of Nigeriens have been displaced from their livelihoods. In south eastern Niger tens of thousands ....,1
""" since several areas will remain flooded till monsoon rains taper off by the next month , it is a big challenge to provide tents and rehabilitate the evacuated people , "" he added .",1
"Residents are being displaced because of the risk of flooding in most regions of our country, reports indicate. In contrast to El Nino, the weather condition which is believed to be responsible for drought during the rainy season in our country, La Nina is causing frequent damage from flooding. The La Nina phenomenon is expected to bring irregular rain to our country the next rainy season and cause severe damage, which has prompted the displacement of people living near river banks. According to news reports, 1.5 million are facing serious risk, and floods have caused severe damage in towns and rural areas. This is because the government has not done any preventive activities. As a result, many inhabitants are at risk and have been fleeing to various areas, according to the reports",1
"zucula said the government was working on a long-term plan to permanently resettle refugees from flood-hit areas , many of whom have been forced from their homes several times in recent years due to flooding .",1
"in the context of providing assistance to people living in emergency evacuation areas and people rebuilding their homes , in addition to the role of the government , volunteers from the community will also have an extremely important part to play .",1
"thousands of people have fled to monasteries , schools or other places so that temporary settlements have been created .",1
"downstream in thatta , the towns of sujawal , daro and mirpur batoro , with a combined population of 400,000 , were ordered evacuated after the swollen indus river broke through an embankment early thursday morning .",1
Our sources in Sudan reported that human traffickers in Sudan and the Sudanese police are targeting houses rented by Eritreans and they are forcing them to make the perilous journey to Libya. The smugglers and the police have made this arrangement for financial gain,1
"floods and landslides triggered by the summer deluge have caused the evacuations of more than 800,000 people , state-run television said .",1
"he also plans to travel to mopti , a town some 450 kilometres north-east of the capital bamako , where he will meet with displaced people and civil society groups which have had access to , or fled from , the crisis-stricken northern regions and some of its worst-hit towns such as timbuktu and gao .",1
Next 36 hours critical - Red notices to fishermen and Navy personnel,1
Rain water which drowned Nawalapitiya #HiruNews #StandBy 9.55pm,1
"Beijing correspondent of the Italian ""Business News"", Mr. [Heath], is a reporter who familiarizes himself with realities, writes diligently, holds fast to objectivity, and is good at thinking. Since the great Wenchuan earthquake occurred in China, Mr. [Heath] has sent numerous reports and comments on the disaster and situations of disaster relief. The following is a summary of a commentary article he recently published. In the face of such a super serious earthquake disaster, China took emergency action within a few hours, and the entire nation was united and mobilized into a race against death in just a few days",1
evacuation : concern will facilitate the voluntary evacuation of households that are found to be in need .,1
"The victims in Keriya County number up to 50 thousand. e The victims in Keriya County number up to 50 thousand. The reporter learned from the Civil Affairs Department of the Autonomous Region that the victims number up to 50 thousand, based on the investigation of the disaster situation, but the number of casualties is not clear, the Xinhua News Agency reported on February 14th in Urumchi (reporter: Mao Yong)",1
