input,label
"At 11:00 tonight, 36-year-old driver, Wang Sheng, with 15 years of driving experience, honked a long horn and drove a large container truck out the door of Huzhou Yinge Outdoor Travel Goods Co., Ltd. His destination is Guangyuan City, an earthquake-stricken area in Sichuan Province, which is 2000 kilometers away. Watching the departing vehicle, Chairman of ""Yinge"", Tang Ye, said with tears in his eyes, ""A tent is a home, ah, the suffering compatriots are more anxious than I am!",1
"powerful waves also damaged 3 km of sea dike , many embankments , over 100 houses , two schools and 30 salt stocks .",1
"A press conference on the earthquake relief in the ""2.12"" magnitude Keriya earthquake in the Hotan region. Abstract: on February 15, a press conference discussed the whole situation of earthquake relief for the Hotan region, following the ""2.12""magnitude Keriya earthquake, measuring 7.3 on the Richter scale",1
"referring to the new construction in the earthquake affected areas particularly due to frequent aftershocks , the chairman erra said the whole new construction and structure in the affected areas would be "" earthquake resistance "" and with proper heating system .",1
"The strongest earthquake in a generation occurred in Sichuan, China yesterday, resulting in tens of thousands of people being killed, missing, or buried underneath the debris of collapsed housing estates. Emergency rescue efforts were launched across the country as a result. A magnitude 7.9 strong earthquake hit Sichuan, China, causing schools, houses, and factories to collapse. The military and rescue teams in all areas scrambled to advance to the disaster areas by air, land, or sea",1
"in addition to rebuilding schools , the aim is to create capacity to formulate policy , train teachers and refine the curriculum and textbooks .",1
traffic long the kasara ghat on mumbai-agra road ( national highway no. 3 ) towards nashik and mumbai is blocked by highway police due to heavy rains & overtopping of floods on bridge near shahapur & on bhivandi bypass .,1
172 hectares of banana plantations 106 classrooms destroyed ngoma,1
"instead of providing emergency shelter in public buildings which the indian government closed , collective centres were set up which also provided material for provisional shelters .",1
"of the 25 sites in total in northern sri lanka , oxfam has been given responsibility to cover all requirements for water and sanitation , garbage disposal , and semipermanent community building for all 12 sites in killinochchi and some of the 13 sites in mullaitivu",1
"gilgit : continuous rains triggering flashfloods and landslides have damaged 42 hydel power stations across the gilgit-baltistan region , disconnecting power supply to 90 per cent of the area , and damaging road infrastructure .",1
"many poor people who cannot afford to buy land have built on communal spaces , including on land previously reserved for channelling water .",1
"At 2:27:59 early this morning, a 5.3 Richter scale earthquake happened near Tamali Township, 12 kilometers southwest of the seismic station in Taitung City. Since the seismic depth was only 10 kilometers, the largest-magnitude earthquake was 5 in Tamali District and 4 in Taitung City. Many people woke up with a start. Parents held their children to hide beside the bed. A lot of people even rushed out of the door. Mrs. Chen who lives in Dawang Village in Tamali Township said that she watched television news that broadcast the news about Sichuan earthquake last night. It was shocking. She thought about what the situation would be if it happened in Taitung. She fell asleep while she was thinking about it. She did not expect that the earth actually trembled in the middle of the night. She immediately thought that she was dreaming. After she collected herself, she quickly ran out to the street with her family. In addition, Mrs. Li who lives in Taitung City said that her child who sleeps soundly in normal days was also awaken by the shake. He asked with vague awareness, ""Is the house shaking?",1
"the agency said the most urgent needs were reconstruction of houses , road repairs and the rehabilitation of rice fields .",1
"many roads remain blocked by landslides and because of the steep terrain , there are few places for relief helicopters to land .",1
"with the rivers deltaic region under threat , reports of boat capsizing , walls collapsing and human and cattle drowning trickled in , raising the death toll to at least 21 .",1
approximately 1.9 million people have been affected in the past week by heavy torrential monsoon rains which flooded 195 blocks in 14 districts of the state of west bengal .,1
"poorly nourished families are continuing to arrive in relief camps , fleeing the oncoming winter and leaving behind villages damaged by the 7.6 magnitude earthquake .",1
humanitarian agencies in the region are experiencing difficulties distributing relief food as most roads have been rendered impassable .,1
"Ministers Kaboneka and Mukantabana comforted people affected by natural disasters. On Wednesday 05/18, accompanied by Stella Ford Mugabo, Minister of Cabinet Affairs, they visited this District and were welcomed by Caritas Mukandasira, governor of Western Province, commanders of army and police, executive committee of the District and many joyful residents",1
"the storms damaged hundreds of thatched houses , cut off villages and left many without electricity .",1
"A massive bushfire broke out in western Australia. CNN news: according to foreign media reports on 9th, a massive bushfire broke out in the west of Australia and most of the forests were affected. An estimated 95 houses were razed in the fire and four people were injured",1
"The victims of earthquake in Kiriye will move into new houses. About reconstruction after earthquake in Kiriye County. It's been three months since the ""Feb 12"" earthquake in Kiriye. The reconstruction, production, and self-rescue work have been flourishing in the most affected Pishke town, Achchan village, Kiriye County",1
"a week later , another thunderstorm flooded already inundated main thoroughfares and underpasses , forcing authorities to declare a state of emergency with no power in most of the city .",1
afghanistan in 2004-2005 suffered its worst winter for a decade after seven years of drought and has little infrastructure to cope with flood waters resulting from storms and melting snow .,1
"“ all the runways , taxiways and apron have been cleared of volcanic ash , ” commander of the adi soemarmo air base col. agus radar sucahyo on thursday .",1
"""The Address"" building caught fire.:",1
"since that time , the united states has repaired 14 health clinics , one sewage treatment plant and 93,000 meters of sewage systems .",1
"Unusual thunderstorm destroyed 126 houses in Rusizi district, took away school roofs, and damaged 22ha of crop",1
"Rain Killed 49 While Injuring 26 in Districts of Gakenke, Rubavu... The ministry of disaster management and refugee affairs said on this Saturday and Sunday rain killed 49 people, injured 26 and destroyed infrastructure in Gakenke, Ngororero, Rubavu and Muhanga districts; emergency rescue is reportedly going on for injured people. Rain damaged Kigali Musanze Rubavu highway due to landslid",1
The heavy rain in the recent past has been recorded as the maximum rainfall after the latter part of Nineteen eighties. Attention of International media has been drawn to the landslide catastrophes at areas like Aranayake and Bulathkohupitiya. As some media reported it was suspected that about 200 families were buried under the Aranayake landslide,1
"On Feb13, I sent a Wechat message to ask people to help the earthquake victims, and after four short days, the total donation of the One Yuan Plan from netizens and friends for the friends in Börtala reached 70000, and nearly 4000 used clothes in 96 sacks, and 200 suits of new cloths were collected. In order to deliver these supplies to the victims in rural areas, where aid has not been delivered, 3 charity workers headed to Hoten on Feb 1, and started to visit them. Other charity worker reached Urumqi to send 26 sacks of cloths to Hoten, and returned a day later. The following are the diaries of the charity workers who were in Hoten;1.We arrived at Atchan village in Kiriye County on Feb 19. We left for Künes village and Shunggul village after we got the information that the supplies had not been delivered because of the dangerous road conditions there. Our goal is to help the people who need those supplies. Indeed, the road toward these two villages was so dangerous that it took nearly 4 hours to travel 60 kilometers of road. Luckily, the guys who welcomed us in Hoten prepared a SUV for this trip. You can't hold your tears when you see elderly people, so like your own grandparents, burst into grateful tears while they accept donation of money and supplies. We delivered 10,000 Yuan cash, and supplies worth 5000 Yuan, and 150 new clothes. (We were informed of the lack of supplies according to people who had been in the scene of earthquake, so we bought supplies from city.) We returned to the county at 10 o'clock that night.",1
"Later, Wen Jiabao came to the severely hit Deyang City in a car, and paid a visit to the workers who had rushed to deal with the emergency. At noon on the thirteenth, Wen Jiabao called for an interim meeting of the Earthquake Relief Command Headquarters of the State Council in Deyang",1
they have not determined how the quakes -- which have claimed several lives and destroyed hundreds of buildings -- are related to the volcanic activity that sent a river of lava spewing from mount nyiragongo into the town of goma in the east of the democratic republic of congo ( drc ) .,1
"Rubavu: Over 900 Houses Now Uninhabitable Following Severe Rain 926 houses from Nyundo, Rugerero and Kanama sectors of Rubavu district in the western province are now uninhabitable after 26 were destroyed by Sebeya floods while others were swept over, and 900 more are filled with water which caused the government to order their owners to leave them temporarily. Now some people who were affected by these disasters were hosted by their neighbors, however the governor of western province Munyantwari Alfonse said that on this Monday they will start to provide affected people with basic relief",1
"Similarly, in Woreda Dangila in the Hawi zone of western Gojjam five residential houses, including officials' houses, were burned down by people, as described by Mulugeta",1
"According to estimates of AIR Worldwide, a well-known disaster assessment company globally, losses as a direct result of the great earthquake may have exceeded USD $20 billion. However, there's news from the city of Deyang in the earthquake area that losses estimated by the government is as much as RMB 200 billion here in China's powerhouse of heavy equipment alone",1
the shiogama bible baptist church is retrofitting an outbuilding on the premises to house volunteers who serve in the community .,1
"however , usaid staff observed ruts , small potholes , erosion of the road shoulder and washouts around some culverts .",1
"Due to the flooding, 300 lives were lost and several houses and business buildings were overwhelmed",1
