input,label
Jake shipped the box towards Carson.,1
I persuaded there to be a problem.,1
They caught her without a license is what happened.,1
The cook boned the fish of bones.,1
The Greeks arrived all.,1
You washed myself.,1
I read that Bill had seen myself.,1
How hard to read the book it was!,1
Which temple did Athena contemplate the reason that her devotees had built?,1
Maxwell isn't half the doctor that that he would be if he studied is certain.,1
The committee hasn't yet made up their mind.,1
Any lion is rare.,1
Gilgamesh might have been not reading the cuneiform tablets.,1
Whether he left!,1
Every reading Shakespeare satisfied me,1
Jason killed.,1
Did Medea poison who?,1
"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.",1
Oliver addressed the king the letter.,1
Monica covered a blanket over the baby.,1
The cat was being eating.,1
The lions ate raw the meat.,1
Peter is pigs,1
The string cut.,1
We think for Bill left.,1
What Medea believed was Jason to be a murderer.,1
John seems that is nice.,1
In the corner lay a dog.,1
How do you wonder whether John said Mary solved the problem?,1
Am not I going?,1
We persuaded them to examine them.,1
Carrie touched the stick into the cat.,1
Every boy has any potatoes.,1
Wash himself.,1
"Kim wanted to go and Sandy wanted, too.",1
Two miles are as far as they can walk.,1
Ann may spending her vacation in Italy.,1
Paula swatted the cloth against the fly.,1
Which city do you believe the claim that Philip would invade?,1
John was cost $10 by the book.,1
To please John is eager.,1
Fruit hit the roof against the ground.,1
Cynthia gobbled .,1
I was trying and buying some whiskey.,1
You can rely on that he will help you.,1
Gwen exchanged the dress to Mary.,1
Absolutely an owl hunts mice.,1
The only girl for whom it bothers me to wear that old fedora is Annabelle.,1
This list includes my name on itself.,1
Stephen persuaded the cat to be out of the bag.,1
I put the table with books.,1
They can door.,1
"Mary claimed that hasn't eaten cabbage, Holly.",1
She hit the ball.,1
We voted for me.,1
The cat had haven eaten.,1
"The knife, that he threw into the sea had a gold handle.",1
She knocked himself on the head with a zucchini.,1
They reputed him to be a good scholar.,1
John write books.,1
John deposited some money in the checking account and Mary did the same thing in the savings account.,1
Melissa searched a clue in the papers.,1
"I like beer, me.",1
This truck spread fewer salt than that one.,1
Which quonset hut does the boy work in a skyscraper and the girl in?,1
The people in who we placed our trust left.,1
Mary noticed that John excessively appreciates herself.,1
John is prouder of having gone than than John expected me to believe not all.,1
Sharon brought Willa breathless.,1
George is having lived in Toledo for thirty years.,1
Aphrodite wanted to live and Ishtar tried to do,1
Paul exhaled on Mary.,1
Megan loves.,1
What the hell do you wonder how to say?,1
Aunt Mary made the boys all a good mother.,1
Lora buttered at the toast with unsalted butter.,1
This rock is too heavy for us to try to claim that we picked up.,1
"They can't do it, can he?",1
Confiscate any of this liquor.,1
They have no and.,1
I expect more than to double my profits.,1
Six inches were grown by the boy.,1
Runaway cats spot easily.,1
Cynthia ate on the peach.,1
Fruit fell against the house against the ground.,1
The teacher hated the pupils angry.,1
Medea tried her to leave.,1
I noticed car in the driveway last night your friend from Boston.,1
Kim lives in the house Lee sold it to her.,1
There sings a man loudly.,1
Chris became quite conservative and trying to change their minds.,1
"Handsome though my friends suggested that Mary thinks that Tom is, I still won't date him.",1
I forwarded Winifred the letter.,1
"The lady singing with a boy is a genius, isn't she?",1
"They said nobody would pay up, but pay up I know a boy who did.",1
I dislike it for him to tickle myself.,1
Professor Smith would support Sue and Prof Jones Bill.,1
That piece of ice is too big for it to be likely for him to be able to pick up with a teaspoon.,1
The cat that the dog that the rat bit chased died.,1
"Ron wanted to wear a tuxedo to the party, but Caspar couldn't decide whether to.",1
The skyscraper which the boy works in and the girl in a quonset hut belongs to Uncle Sam.,1
At least three girls saw anything.,1
"Who had Poseidon run away, because the executioner murdered?",1
Harriet alternated folk songs and pop songs together.,1
I prefer.,1
We proved conclusively to the authorities Smith to be the thief.,1
Seems John to fix the computer.,1
I considered Fred after the party crazy.,1
I'm glad I saw anybody.,1
The roof is leaks.,1
Nathan showed to Benjamin it.,1
They expected us to should leave him.,1
Can he will do it?,1
Chris will become talking to colleagues.,1
Tamara poured at water into the bowl.,1
John offers little suggestion.,1
"After ten soldiers had left, seven more ones came in.",1
I went to the store to have bought some whisky.,1
I searched treasure in the cave.,1
She has enough a problem as it is.,1
I expect to double my profits more than.,1
Any woman contributed to the fund.,1
They want to are kind to her.,1
Rosemary hates.,1
Order one first is what you should do.,1
"While Holly didn't discuss a report about every boy, she did every girl.",1
Moya played football with her,1
Every man lifted the table together.,1
The old dog died partway.,1
The children amused at the clown.,1
I spoke to about the war yesterday that guy who's always following us.,1
Which packages didn't Sam pick up which are to be mailed tomorrow until it had stopped raining?,1
"His expectations lower, the higher the stakes are.",1
John ate a carrot and Mary did so a radish.,1
There is a hole in John's quilt's upper right-hand corner.,1
The door has seven holes in it and the window.,1
That he ever went there alone is certain.,1
The student met John came.,1
The fig chuckled,1
The writer is that gets you so involved.,1
"They want to hire someone who speaks a Balkan language, but I don't know which language.",1
How much money Gordon spent is true.,1
Did not Sue pass her exam?,1
the boy likes themselves.,1
John is eager to examine.,1
Stephen persuaded there to be a fountain in the park.,1
She always wore herself.,1
The stone knocked the pole into the road.,1
Our team played all well.,1
Who is that he has met extremely unlikely?,1
Andy pinched Sarah and tickled herself.,1
I handed the ball.,1
He turned from a prince.,1
Bill would be easy for it to become expensive for you to chat with in Moscow.,1
"Your desk before, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",1
You should avoid to travel in the rush hour.,1
Ellen conferred Helen.,1
Gilgamesh flew not the broomstick.,1
Mike talked to about politics yesterday my friends.,1
John is a no more reliable fellow than Bill.,1
"The more he eats, the fatter that that he gets really bothers me.",1
I'm as sad as angry.,1
"He gets angry, the longer John has to wait.",1
John tried Bill to play checkers.,1
I kicked me,1
John placed the flute.,1
Chris said that himself was angry.,1
I would like to might do it,1
The teacher who that the principal would fire was expected by the reporters is a crusty old jerk.,1
I'm hungry and did you play chess?,1
Angela characterized Shelly a lifesaver.,1
The king banished at the general from the army.,1
We think if Bill left.,1
The boys were made a good mother by Aunt Mary.,1
She hit myself with a hammer.,1
Tall books stand on tables easily.,1
Fifteen dollars in a week are not much.,1
Sue put.,1
I inquired that John like his beer.,1
We wanted to ate cake,1
They tried all to like John.,1
John suddenly got the bus off.,1
much tool is needed.,1
"Sally is tall, and may be, and Sheila is short, and definitely is, blond.",1
Robin arrived most of the way at the station.,1
The hospital was donated the book to.,1
Here's a knife which for you to cut up the onions with.,1
I consider to be a fool the senator who made the opening speech.,1
Jason asked whether that the potion was ready,1
You shouldn't have played with rifles because to have is dangerous.,1
"That they spoke to the janitor about that robbery yesterday is terrible, the cops.",1
Which god the statue?,1
the room contains few furniture.,1
They caused him to become president by making him.,1
The poison was neutralised was claimed that by everyone,1
We were glad what to do.,1
Anything hasn't happened to his optimism.,1
Marianne not left.,1
Aphrodite stinks to be omnipotent.,1
What Medea wondered if was the potion was ready,1
The cake was been eating.,1
"Fluffy is sick, which I slapped a boy who wouldn't acknowledge.",1
Ten pounds was weighed by the package.,1
I ate apple.,1
I ordered if John drink his beer.,1
The problem is easy to solve the question.,1
The general banished from the army.,1
I have should eat plums.,1
He walked right happy.,1
We all thought him was unhappy,1
Peter will decide that we should review the book.,1
We yelled Harry hoarse.,1
Heidi believes John's description of herself.,1
Karen asked where for him to put the chairs.,1
The fish scrubbed.,1
The excellent whisky which I went to the store and have bought was very costly.,1
John convinced to sleep.,1
Bill floated into the cave for hours.,1
The book brings easily to the meeting.,1
John put his gold.,1
Pat was annoyed by that their parents did nothing to stop it.,1
"When did Fanny return, she found Tom Bertram very ill.",1
Tracy has become a republican and of the opinion that we must place nuclear weapons in Europe.,1
