input,label
you can't say you support women's rights but be against abortion #SemST ,1
Liberals say I need more tolerance. I say screw tolerating murder.                                #AbortionKills #ToleranceIsDeath #SemST ,1
This #rally4life shit! How people support it I'll never understand. #SemST ,1
The most horrific violence in America is the war on babies. #SemST ,1
@user  Surprised? A poll sponsored by biased @user was always going to give a pro-abortion result #repealthe8th #SemST ,1
Life is sacred on all levels. Abortion does not compute with my philosophy. Kate Mulgrew @user (Red on #OITNB ) #SemST ,1
En route to Parnell Square for the rally for life!!  #everylifematters #SemST ,1
pro-choicers are basically tryna fight oppression with more  oppression . #feminist #SemST ,1
@user @user where is #SilencedDiscourse for @user questions on #Divisions #SchoolChoice #Taxes #DoubleStandard #Biased #SemST ,1
Our #TruthTour continues in #CarletonPlace as we show the graphic truth of abortion 2 traffic & pedestrians! #ShowTheTruth #onpoli #SemST ,1
"Not sure where I stand on God and religion.  Still, don't need to be a Christian or religious to be against abortion.  #evil #SemST ",1
Dear America: If only a 3D ultrasound picture could evoke the same emotional response. #lifeisprecious #SemST ,1
Societies that put to death the weak and vulnerable are more violent. #Nazis #streetgangs #Communists #AssistedSuicide #SemST ,1
RT @user God is the author of life and nobody has the right to take it. #SemST ,1
I just unfollowed someone because they tweeted about being pro-life #SemST ,1
@user @user I know! I'm the only perfect :-) candidate. #ProCivilLiberties #ProBusiness #ProWorker #ProPeace #SemST ,1
"Woman's Heartbreaking Letter to Father of Baby She Aborted: ""I'm So Very Sorry - LifeNews. Please pray for the men hurt by abortion #SemST ",1
@user @user @user we do care about the hurt inflicted upon preborn children through #abortion. #TruthTour #Ottawa #SemST ,1
Looking forward to the protest today. I can't be there long but I hope my signs will. #Kingston #protesters #SemST ,1
PRAISE REPORT Two babies savedOne in Dallas TX&in Charlotte NC  If we put forth effort with prayer- miracle's happen  #SemST ,1
"As a man, the only body I should have a say in is my own. #repealthe8th #rally4life #SemST ",1
For great is thy mercy toward me; & thou hast delivered my soul from an evil place. Amen #Christian #SemST ,1
@user Don't get pregnant! Make sure you don't get pregnant if you'd just kill your child if you do! @user #SemST ,1
The #rally4life  shows yet again what little support these people have.  #repealthe8th #SemST ,1
@user @user d real question is. do u even research d side effects of abortion and contraceptives? #KnowYourFacts #SemST ,1
@user @user @user @user I'm totally cool with this image. Was the fetus unviable? Health at risk? #SemST ,1
@user I don't *believe* life begins at conception--I *know* life begins at conception. #nrlc2015 #SemST ,1
"For he who avenges blood remembers, he does not ignore the cry of the afflicted. ~ Ps 9:12 #comequicklyLordJesus #SemST ",1
@user Then make sure Udon't get pregnant. And don't KILL your child if you do! You are the mom RESPONSIBLE 4child's life! #SemST ,1
Babies are humans to support the prolife movement #SemST ,1
@user @user The unborn also have rights #defendthe8th #SemST ,1
"If the Pope gave a flying fuck about the poor on his home continent, he'd let them have abortion and birth control. #SemST ",1
AntiChoice laws say women can't make their own decisions  #SemST ,1
"#DefentThe8th? Why would I defend something that kills people? Remember #Savita, killed by Irish ""#prolife"" laws? #RepealThe8th #SemST ",1
"Some babies die by chance, none should die by choice! #SemST ",1
It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST ,1
"How can someone be calling for abortion in a speech and end it with ""God bless America""? #righttolife #SemST ",1
"Meanwhile, @user wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST ",1
@user Bullshit multiplied by bullshit is still bullshit. #SemST ,1
There's no place for selfishness when you talk about a human life. Everyone matters! #quotes #truelovewaits #parenting #humanrights #SemST ,1
.@BuhayIpaglaban perhaps you want to go to the fertility clinics & rescue them all. How many can you fit in your womb. #clowncar #SemST ,1
I will fight for the unborn! #SemST ,1
",@CoraSherlock When is Ms C case you've been promising happening? When'll a court be asked adjudicate her claims? #repealthe8th #SemST ",1
Al Robertson's mom #DuckDynasty  chose life as an unwed 16 year old. #SemST ,1
#rally4life more like rally for people who think they have the right to authorise other people's decisions #SemST ,1
"@user U refer to ""WE"" which =""YOU"" & a minority of idiots who support #suicide #murder  #death #iLLegalAliens #RavenSymone #SemST ",1
There should be no law or funding which justifies the murder of innocent life.   #CCOT #pjnet #SemST ,1
A bundle of cells feels more pain than a fully grown women? no. #SemST ,1
@user  What are they doing with acid signs oh yeah their all tripping #lsd  #SemST ,1
Why are Tumblr feminists so territorial? Pro-lifers can't even voice their opinions without being attacked. #ProLifeProblems #SemST ,1
There weren't any volunteers outside abortion clinic when she had her abortion bcs there aren't enough of us. Can you join us? 2/2 #SemST ,1
"Natural family planning isn't ""planning"" at all since it just doesn't work. #SemST ",1
asked a protester-u'll fund the moms?Yes-So #announced it in DT #hamont-yo ppl #NoAbortion=these ppl wth picz will pay 4yo' kids #SemST ,1
"RT @user It's so easy to be Pro-Choice, especially when you're not the one getting your skull crushed. #SemST ",1
"So you're at the #rally4life? Tell me more about how #antichoice laws kill 47,000 women A YEAR! Very ""#prolife"" uh? #REpealThe8th #SemST ",1
#ICCPR report does not cite any reasons for the changes in the legislation regulating. #macedonia #law # #SemST ,1
"@user @user The culture of death is ""#prolife"" who deny pregnant people healthcare. #SemST ",1
I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience #PregnancyForAll #SemST ,1
"The point is BODILY AUTONOMY. A born child can rely on other people, and can LIVE by itself   #SemST ",1
A much needed 3 days with these guys @user @user missed @user but what a weekend #SemST ,1
@user I thought they wanted less unwed mommas and less abortion. #confused #tcot #feminism #SemST ,1
"we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin #RomanCatholic #SemST ",1
"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST ",1
"@user So you've blown right past the whole ""women stopped dying after RvW"" thing. #prolifelie #hashtagitall #SemST ",1
@user repent wen u commit a grave act like murder of a baby did u #abort ur baby?yes? then YOU repent! #hell s 4 eternity #SemST ,1
A prochoice advocate but circumcise ur baby? Fucking hypocrite! #circumcision #humanrights #SemST ,1
"I was an accidental baby and as far as I know, my parents were happy to have me. #thanksmom #SemST ",1
"AmandaKayHowell: Dear to who it may concern;""YOU stand up for my right to live.   #Baby #murder #RightToLife #unborn #wo... #SemST ",1
If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST ,1
@user @user @user both r #human. 1e u abuse with misinformation (#women) n d other u kill by #baby #SemST ,1
There is nothing sadder than pro-life young women. I can't help but pity the fools. #repealthe8th #SemST ,1
"Lord Jesus,Touch my life with your saving power, heal and restore me to      fullnessof life. #SemST ",1
Reading law cases on abortion rulings from the past 100 years is exhausting! #research #workhard #work #publichealth #SemST ,1
It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.  #ProLifeYouth #SemST ,1
"Why do people think it's ok to get an abortion...  What the fuck is wrong with you? What if your mom aborted you, you sick fuck! #SemST ",1
@user just wanted to say that I appreciate the pro life stance. A lot of celebrities are afraid to show a bold stance #LFO #SemST ,1
"@user Right, where are the pre-born women's rights? #allLivesMatter #equalRights #SemST ",1
Was at the planned parenthood protest in #fitchburg today with the image of Our Lady of America #catholic #SemST ,1
"@user @user @user Actually, child-murder is far worse these days. We live in more savage times. #SemST ",1
PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  #SemST ,1
Abortion is genocide - I don't think you know what genocide means.  #ygk #SemST ,1
Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST ,1
"@user @user @user ""Natural"" family planning isn't ""planning"" at all since it just doesn't work. #SemST ",1
Of course an embryo is a person! If it were a puppy there'd be no desire to abort it. #SemST ,1
Happy July 4th- freedom day! Let liberty ring out! #freedom #Faith #Jesus #REVIVAL #Life #tcot #SemST ,1
"DEAR PROABORTS: Using BAD grammar and FILTHY language and INTIMIDATION makes you look ignorant, inept and desperate. #GodWins #SemST ",1
"Before I formed you in the womb I knew you, before you were born I set you apart - Jeremiah 1:5 #Godislove #youareloved #SemST ",1
"@user Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 #SemST ",1
Next time just keep the baby   #SemST ,1
@user NO new human individual formed at conception! Full complement of human chromosomes unique individual DNA and alive. #SemST ,1
Pro Choice? Just choose to kill yourself after your baby is born. #SemST ,1
Abortionists and their supporters are the REAL misogynists! #Catholic #Christian #progressive #liberal #SemST ,1
"@user @user Remember that there is no ""murder"" involed in #abortion. I am #ProContraception for LESS #abortion. #SemST ",1
@user #gop as whole party has backwards ideas on #immigration #votingrights #womensright #civilrights. #healthcare #dapa #SemST ,1
@user @user  ur not aware that using #NaturalFamilyPlanning will have d same effect as birth spacing? #SemST ,1
MathewsJeanne Thank you 4 your very #kind RT. God Bless You #Patriot. #babies matter #SemST ,1
Does the Gay Community support Abortion? #ProLifeYouth #LGBTPrideMonth #SemST ,1
The beauty of the morning seems ruined knowing abortion clinics open soon. Another day of 900+ lives lost to @user & friends.      #SemST ,1
@user It is no less your child before or after birth. One continuum of life. #SemST ,1
"Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? #SemST ",1
Every year I see #rally4life ads & think 'that sounds great!' Stop tricking me into thinking you want sth positive! #repealthe8th #SemST ,1
I support @user because I want to see Planned Parenthood gone. #SemST ,1
"@user And don't forget, now ""Private clubs"" and organizations. AKA ~> #GirlScouts & #SemST ",1
"Damn, interesting news when you find out you were almost a product of abortion #SemST ",1
Wish I could be at the #rallyforlife counter protest. Women are people. Fetuses are clumps of cells. End of story. #ireland #SemST ,1
@user And accepting with love any children arising from Union of marriage or at least taking responsibility for life created #SemST ,1
"@user @user The most fundamental right of them all, the right to life, is also a right of the unborn. #SemST ",1
"@user so, you support the choice of wether or not you'd like to kill someone? Would you kill a born baby? #SemST ",1
I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST ,1
If #Freewill is good enough for your #god it should be good enough for you. #SemST ,1
Our #TruthTour cont' in the @user as we show the humanity of the unborn & inhumanity of abortion! #cdnpoli #Ottawa #onpoli #SemST ,1
Where's the most dangerous place for a child? In the hands of an ISIS terrorist? Almost. Inside their mother's womb #MiddleAmerica #SemST ,1
Every1 needs 2 c @user & @user movie #TheRallyLA. It's life transforming. #drugs #forgive #SWBC2015 #Salvation #SemST ,1
"In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST ",1
"Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST ",1
"In 1776 we killed the conservatives, freed ourselves from that crap #rightwing #Christian #ChurchState #Tyranny. #Uniteblue #tcot #SemST ",1
"#rally4life because if they don't want an abortion, then no one can have the choice  #SemST ",1
Solidarity with all at the counter #rally4life - Ireland won't be equal until women have full control of our bodies #repealthe8th #SemST ,1
@user #SB128 isn't opposed merely b/c it's against God's will (as if we're neanderthals). It's murder. Like #SemST ,1
I am Nazi Holocaust survivor and I say that Abortion is America's Holocaust! -Sibylle Heidrich von Campe #holocaust #SemST ,1
The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST ,1
"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices #SemST ",1
#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST ,1
