input,label
Where is Basque country located?,1
Where is the Abominable Snowman said to wander?,1
Where is the location of the Orange Bowl?,1
What are the 10 largest cities in the US?,1
What city was Martin Luther King Jr. assassinated in?,1
What city is graced by the Arch of Titus?,1
What countries does the Mont Blanc Tunnel join?,1
Where in the Americas is it only 47 miles from the Atlantic to the Pacific?,1
What continent is Argentina on?,1
Where did King Francis I hang the `` Mona Lisa '' when he owned it?,1
What state capital comes last alphabetically?,1
Where can I get cotton textiles importer details?,1
What country is home to Heineken beer?,1
What Kenyan city is the safari center for East Africa?,1
What country did the Romans call Hibernia?,1
What United States city produces the most oil?,1
What state did the Battle of Bighorn take place in?,1
What city gained renown for its pea-soup fogs?,1
What is George Lucas 's e-mail address?,1
Where can an individual get a contact lens tested that burned the entire surface of eye when new?,1
Where is McCarren Airport?,1
What river in the US is known as the Big Muddy?,1
Where did the world come from?,1
What are the largest breweries in the world?,1
What general direction does the journey in Around the World in 80 Days proceed in?,1
Name a country that is developing a magnetic levitation railway system?,1
What state is the geographic center of the lower 48 states?,1
What 's the largest island in the West Indies?,1
What building built in 18 contains 327 miles of book shelves?,1
Where is one 's corpus callosum found?,1
Where can I find information about touring the Philippines?,1
What London museum features a Chamber of Horrors?,1
What lake is the source of the White Nile?,1
What U.S. state has sagebrush as its state flower?,1
Where can I find full written draft of CTBT?,1
Where can I find information on the cyclone that hit New Jersey on 8/28/1941?,1
What countries have the best math students?,1
What city has the zip code of 35824?,1
What state is Niagara Falls located in?,1
What U.S. state has an element named for it?,1
What is the brightest star?,1
What are the names of the tourist attractions in Reims?,1
Where can I get mailing lists?,1
What river does the Grand Coulee Dam dam?,1
What continent is Bolivia on?,1
What country boasts Ismail 's Palace and the Palace of King Farouk?,1
Where is Glasgow?,1
What is the largest city in the world?,1
What is the largest city in the world?,1
What country is the world 's largest importer of cognac?,1
What Russian city used to be called St. Petersburg and Petrograd?,1
Where is Sinn Fein 's headquarters?,1
Where is the Little League Museum?,1
Where can I find a picture of a Blue Meanie?,1
Where are the Austerlitz and Victor Hugo subway stops?,1
Where are the 49 steps?,1
What 's the name of a hotel in Indianapolis?,1
What is the address of the famous Mexican star `` Thalia ''?,1
Which area produces the least acidic coffee?,1
Where is Belize located?,1
What state was Herbert Hoover born in?,1
What is the most useful site on the Internet?,1
What gate opened on East and West Berlin?,1
What is the Homelite Inc. home page?,1
What is the Homelite Inc. home page?,1
What city had a world fair in 1900?,1
What country is the origin of the band the Creeps?,1
Where can I find a case on Individuals with Disabilities Education Act of 1991?,1
Where did surfing originate?,1
What kind of habitat does the scorpion live in?,1
Where does most of the marijuana entering the United States come from?,1
In 139 the papal court was forced to move from Rome to where?,1
What country 's people are the top television watchers?,1
What New Hampshire hamlet rises early to vote first in U.S. presidential elections?,1
What country boasts the most cars per mile of road?,1
