word,timing,time_running
From,0.15999999999999998,0.15999999999999998
the,0.0,0.15999999999999998
moment,0.22999999999999998,0.38999999999999996
I,0.28,0.6699999999999999
learned,0.23999999999999996,0.9099999999999999
to,0.24,1.15
string,0.32000000000000006,1.47
together,0.3700000000000001,1.84
"words,",0.7,2.54
speaking,0.35,2.89
became,0.19,3.08
my,0.39,3.47
sanctuary.,,3.47
"""Speak",0.24999999999999997,3.72
"up,",0.12000000000000001,3.8400000000000003
"child,""",0.7899999999999998,4.63
said,0.18000000000000005,4.81
"Mama,",0.25999999999999995,5.069999999999999
her,0.21,5.279999999999999
eyes,0.29000000000000004,5.569999999999999
twinkling,0.29000000000000004,5.859999999999999
with,0.49,6.35
anticipation,0.78,7.13
as,0.16999999999999996,7.3
she,0.22999999999999998,7.529999999999999
waited,0.22000000000000003,7.749999999999999
for,0.15000000000000002,7.8999999999999995
my,0.27,8.17
first,0.33,8.5
coherent,0.42999999999999994,8.93
sentence.,1.04,9.969999999999999
I,0.16000000000000003,10.129999999999999
was,0.26,10.389999999999999
barely,,10.389999999999999
three,0.25,10.639999999999999
"then,",,10.639999999999999
but,0.16000000000000003,10.799999999999999
I,0.27,11.069999999999999
remember,0.24,11.309999999999999
the,0.19,11.499999999999998
warmth,0.22000000000000003,11.719999999999999
of,0.15000000000000002,11.87
her,0.06,11.93
smile,0.25999999999999995,12.19
when,0.14,12.33
I,0.32999999999999996,12.66
finally,0.30000000000000004,12.96
"uttered,",0.16,13.120000000000001
"""Mama,",0.5599999999999999,13.680000000000001
"love.""",0.7700000000000001,14.450000000000001
From,0.16000000000000003,14.610000000000001
that,0.18000000000000002,14.790000000000001
day,,14.790000000000001
"forward,",0.32000000000000006,15.110000000000001
words,0.26,15.370000000000001
became,0.28,15.65
my,0.27,15.92
loyal,0.17,16.09
companions.,,16.09
"""What",0.19,16.28
did,0.15999999999999998,16.44
you,0.22999999999999998,16.67
"say?""",,16.67
Mama,0.15999999999999998,16.830000000000002
would,0.25,17.080000000000002
often,0.4,17.48
"ask,",0.28,17.76
her,0.14,17.900000000000002
curiosity,,17.900000000000002
piqued,0.26,18.160000000000004
by,0.14,18.300000000000004
my,0.24,18.540000000000003
constant,0.5,19.040000000000003
chattering.,,19.040000000000003
I,0.15000000000000002,19.19
would,0.18000000000000002,19.37
just,0.37,19.740000000000002
smile,0.30999999999999994,20.05
and,0.08,20.13
repeat,0.28,20.41
my,0.27,20.68
"words,",0.53,21.21
each,0.37999999999999995,21.59
syllable,0.16999999999999998,21.76
a,0.33999999999999997,22.1
testament,0.22,22.32
to,0.16999999999999998,22.490000000000002
my,0.27,22.76
growing,0.24999999999999994,23.01
love,0.19000000000000003,23.200000000000003
for,0.29000000000000004,23.490000000000002
language.,0.9600000000000001,24.450000000000003
Little,0.27,24.720000000000002
did,0.15999999999999998,24.880000000000003
I,0.18,25.060000000000002
know,0.19,25.250000000000004
then,0.20000000000000004,25.450000000000003
how,0.39,25.840000000000003
profoundly,0.42000000000000004,26.260000000000005
