,expl,subject,module_num,roi_anat,roi_func,voxel_num,stability_score,top_explanation_init_strs,fmri_test_corr,top_score_synthetic,top_score_normalized,cluster_nums
0,locations,UTS02,368,"['inferiorparietal', 'superiorparietal']","['OPA', 'PMvh', 'V7']",50254,0.233542386240347,location,0.4247623767049396,0.0157290550660991,0.4462110299165122,"[42061 44667 44714 44844 47422 47471 47518 47563 47606 47648 47689 50157
 50158 50206 50207 50254 50255 50300 50344 50389 50430 52934 52935 52936
 52983 52984 53031 53077 53121 53122 53165 53166 53206 55721 55722 55723
 55769 55770 55771 55772 55817 55906 55948 55990 58488 58489 58535 58536
 58537 58581 58582 58625 61156 61207 61257 61258 61305 61306 61351 61352
 61397 63943 63991 64041 64089 64135 64179 66723 66774 66820 69514]"
1,physical injury or trauma,UTS02,339,['parsopercularis'],--,43198,0.11057752103656024,physical injury or trauma,0.4482405169964841,0.0950950497116619,3.062689044754193,
2,laughter,UTS02,426,['middletemporal'],"['ATFP', 'AC']",22994,0.1691539621007875,laughter or amusement,0.5808300741611053,0.2074722422257437,3.4072877005872613,"[26172 29172 29232 29339 29402 29456 29457 29458 32211 32267 32268 32325
 32384 32385 32386 32441 32442 32492 32493 32494 32496 32497 35368 35420
 35421 35471 35472 35474 35525 38363 20045 22883 22884 22938 22940 22941
 22991 22992 22993 22994 23048 23049 23050 23051 23106 25999 26000 26002
 26004 26005 26052 26053 26054 26055 26056 26060 26109 26110 26116 26117
 29116 29117 29118 29119 29169 29170 29176 29224 32155]"
3,measurements,UTS02,171,['inferiorparietal'],--,47687,0.2830296642377071,a measurement of distance or height,0.5356759715911766,0.128839037241823,1.7369143020646487,"[36007 38917 39008 39009 39011 39054 39101 39102 39145 39146 39186 39187
 39188 39226 39228 41926 41927 41928 41971 42015 42058 42059 42099 42136
 42172 44753 44755 44756 44795 44796 44797 44798 44799 44800 44839 44840
 44841 44842 44881 44882 44883 44921 44922 44923 44960 44994 47600 47601
 47602 47603 47604 47643 47644 47645 47646 47686 47687 47725 47726 47727
 50342 50386 50387 50426 50427 50428 50465 50466 50467 50468 50504 50505
 53119 53244 53245]"
4,emotional expression,UTS02,398,"['inferiorparietal', 'middletemporal']",['PMvh'],29688,0.16320410112085063,emotional expression,0.5555794218769222,0.1419507609490933,1.956255184240302,"[20524 23229 26298 29634 29688 29689 29741 29742 29745 32673 32676 32677
 32724 32725 32726 32727 32728 32729 32730 32731 32778 35750]"
5,food preparation,UTS02,79,"['fusiform', 'inferiortemporal']",['ATFP'],23367,0.30029145876002156,food preparation,0.4066288716159583,0.109667070508564,3.2158541262336064,"[ 6182  7916  8177  9951 10026 12118 12121 12165 12431 12434 12471 12472
 12476 12513 12514 12554 12560 12601 14654 14655 14939 14984 14985 14986
 15028 15029 15030 15075 15078 15124 17624 17673 17674 17722 17723 17725
 17772 17822 20355 20406 20458 20459 20509 20511 20512 20564 20660 20663
 23313 23365 23366 23367 23368 23419 23420 23421 23474 23475 23528 23577
 23630 23631 26447 26448 26502 26503 26504 26557 26558 26613]"
6,locations,UTS02,122,['inferiorparietal'],"['OPA', 'ATFP']",61584,0.1876137056607842,location or movement in relation to a particular place,0.5431372361965588,0.0782196286772851,1.093413184164759,"[41958 42002 44738 44783 44784 44827 44870 47587 47588 47589 47630 47631
 47632 47674 47675 47717 47753 47754 50369 50371 50413 50414 50415 50452
 50456 50457 50491 50495 50496 50497 50532 50533 50534 50598 53147 53188
 53190 53191 53232 53272 53308 53309 53310 53343 53373 53374 53403 55932
 55972 55974 55975 56015 56016 56052 56053 56054 56055 56089 56092 56093
 56127 58692 58734 58777 58778 58779 58815 58816 58817 58818 58820 58850
 58851 58852 58882 61463 61504 61505 61545 61546 61584 61585 61620 61621
 61652 64283 64284 64322 64359 64360 64394 64395 67168]"
7,time,UTS02,212,['middletemporal'],['PMvh'],23386,0.22086469135183168,counting or measuring time,0.4889701533898373,0.1176190461516009,2.686891842333914,"[12446 14722 17832 20371 23278 23279 23280 23331 23332 23334 23384 23385
 23386 26352 26407 26408 26409 26412 26462 26464 26465 26466 26467]"
8,hair and clothing,UTS02,154,['precentral'],"['PMvh', 'IFSFP']",59916,0.1908046053453064,hair and clothing,0.2183576827513946,0.0888888684259012,3.078810664283941,"[48931 48932 51650 51690 51691 51730 54414 54453 54454 54490 54491 54492
 54527 54528 57191 57192 57193 57194 57227 57229 57230 57231 57232 57268
 57269 59916 59917 59955 62668 62669 65383 65432 70975 73466 73467 73658
 75998]"
9,moments,UTS02,337,"['inferiorparietal', 'middletemporal']",--,35484,0.31092223026696775,a moment in time,0.6092962350974187,0.0969571238132616,1.29662556004075,"[26410 26411 29466 29467 29468 29469 29470 29522 29523 29524 29525 29526
 29579 29686 32450 32451 32452 32453 32505 32506 32507 32508 32509 32510
 32561 32562 32563 32564 32565 32566 32567 32615 32616 32617 32619 32669
 32670 32723 35431 35436 35484 35485 35486 35487 35488 35489 35490 35491
 35536 35537 35538 35539 35540 35541 35542 35543 35589 35590 35591 35592
 35593 35594 35595 35641 35642 35643 35644 35695 35748 38377 38427 38429
 38430 38432 38467 38468 38469 38471 38472 38473 38474 38475 38476 38477
 38511 38512 38515 38558 38559 38560 38561 38607 38608 38609 38610 38658
 38659 38660 38709 41319 41320 41321 41322 41356 41360 41361 41362 41395
 41435 41436 41438 41439 41482 41484 44149 44187 44188 44228 44267 44268
 44269 44311 44313 46912 46951 46990 47030 47032 47067 47070 47071 47072
 47113 47114 49692 49693 49734 49813 49814 49849 49853 49854 49898 49899
 52580 52581 52625 52626 52672 55356 55407]"
10,rejection,UTS02,342,"['middletemporal', 'superiortemporal']","['PMvh', 'AC']",22840,-0.0036144602968051346,rejection,0.4606567166897269,0.0458200734979442,1.4707076419594949,
11,birthdays,UTS02,442,['middletemporal'],['ATFP'],26228,0.1841104714054852,birthdays and birth years,0.4133313593817638,0.0722098021138802,2.3030324661647774,
12,communication,UTS02,299,['inferiorparietal'],['ATFP'],50190,0.0672204676548877,communication,0.3309624266533357,0.00070699475352,0.0221713063909387,"[38800 38801 38851 41674 41724 41725 41775 41825 44446 44448 44497 44499
 44500 44548 44550 44551 44600 44601 44602 44651 47251 47301 47302 47303
 47350 47354 47355 47400 47401 47403 47405 47451 47455 47502 47503 47504
 50033 50034 50035 50085 50086 50087 50088 50139 50140 50185 50186 50188
 50189 50190 50235 50237 50238 50239 50284 50285 52809 52810 52811 52812
 52863 52864 52916 52966 53015 53016 53061 53062 55594 55595 55596 55597
 55598 55647 55648 55651 55752 58360 58362 58363 58412 58413]"
13,surprise,UTS02,168,['middletemporal'],"['ATFP', 'AC']",5389,0.0913405501441838,"surprise, shock, disbelief, and laughter",0.5821641289272362,0.1986366939238429,3.1535400536738813,"[1114 1490 1524 1525 1558 1630 1668 2060 2093 2094 2095 2128 2129 2130
 2165 2166 2167 2206 2240 2244 2281 2786 2820 2821 2857 2858 2859 2896
 2897 2898 2899 2937 2938 2939 2977 2978 2979 3017 3020 3021 3060 3063
 3797 3799 3834 3870 3871 3907 3908 3946 3947 3988 4031 4032 4074 4075
 4118 5196 5230 5231 5232 5233 5269 5306 5311 5345 5346 5347 5388 5389
 5390 5567 6880 6881 6883 6915 6916 6917 6991 6992 6993 7031 7032 8906
 8942 8980 9142]"
14,negativity,UTS02,248,['middletemporal'],"['ATFP', 'AC']",29226,0.013634401496091225,something that is seen as negative or undesirable,0.5301972385754317,0.1191036317294124,1.8859208172823467,"[19605 22882 22885 26111 26112 26166 26167 29004 29171 29225 29226 29227
 29228 29281 29282 29283 32151 32208 32209 32263 32264 32265 32266 32321
 32322 32378]"
