word,timing,time_running
As,0.16999999999999996,0.16999999999999996
I,0.17000000000000004,0.33999999999999997
sit,0.26,0.6
"here,",,0.6
pen,0.14,0.74
in,0.31,1.05
"hand,",,1.05
the,,1.05
journey,0.21000000000000002,1.26
of,0.15,1.41
my,0.28,1.69
past,0.5,2.19
unfolds,0.30999999999999994,2.5
like,0.13,2.63
a,0.18,2.81
"map,",0.32000000000000006,3.13
each,0.3,3.4299999999999997
twist,0.15000000000000002,3.5799999999999996
and,0.16,3.7399999999999998
turn,1.92,5.66
marked,0.28,5.94
by,0.28,6.220000000000001
moments,0.18,6.4
of,0.21000000000000002,6.61
self-reflection,0.36000000000000004,6.970000000000001
and,0.36999999999999994,7.340000000000001
growth.,0.43999999999999995,7.780000000000001
It's,0.13000000000000003,7.910000000000001
a,0.3,8.21
path,0.32999999999999996,8.540000000000001
littered,0.18,8.72
with,0.13,8.850000000000001
the,0.29,9.14
debris,0.18,9.32
of,0.15000000000000002,9.47
my,0.24,9.71
former,2.4000000000000004,12.110000000000001
"self,",0.43999999999999995,12.55
a,0.25,12.8
testament,0.19999999999999996,13.0
to,0.10000000000000002,13.1
the,0.3,13.4
person,0.24,13.64
I,0.24000000000000002,13.88
once,0.25,14.13
was,0.15999999999999998,14.290000000000001
and,0.13999999999999999,14.430000000000001
the,0.16999999999999998,14.600000000000001
one,0.20999999999999996,14.810000000000002
I've,0.3400000000000001,15.150000000000002
become.,,15.150000000000002
There,0.15,15.300000000000002
was,0.11999999999999998,15.420000000000002
a,0.21999999999999997,15.640000000000002
time,0.21000000000000002,15.850000000000003
when,0.28,16.130000000000003
forgiveness,0.36999999999999994,16.500000000000004
seemed,0.27,16.770000000000003
like,0.14,16.910000000000004
a,0.32,17.230000000000004
foreign,0.31999999999999995,17.550000000000004
"concept,",0.6,18.150000000000006
an,0.43000000000000005,18.580000000000005
unreachable,0.4,18.980000000000004
peak,0.36999999999999994,19.350000000000005
shrouded,0.16999999999999993,19.520000000000003
in,0.11000000000000001,19.630000000000003
the,0.2,19.830000000000002
mist,,19.830000000000002
of,0.15000000000000002,19.98
my,0.43999999999999995,20.42
stubbornness.,,20.42
"Yet,",1.8000000000000003,22.220000000000002
"eventually,",,22.220000000000002
I,0.19,22.410000000000004
forgave—not,0.21000000000000002,22.620000000000005
just,0.18999999999999997,22.810000000000006
those,0.19,23.000000000000007
who,0.15000000000000002,23.150000000000006
had,0.5399999999999999,23.690000000000005
wronged,0.1200000000000001,23.810000000000006
"me,",0.35,24.160000000000007
but,0.31,24.470000000000006
myself,0.32000000000000006,24.790000000000006
as,0.19999999999999998,24.990000000000006
well.,,24.990000000000006
This,0.28,25.270000000000007
process,0.31000000000000005,25.580000000000005
taught,0.15,25.730000000000004
me,0.15000000000000002,25.880000000000003
that,0.14,26.020000000000003
forgiveness,0.27,26.290000000000003
is,0.16000000000000003,26.450000000000003
not,0.29000000000000004,26.740000000000002
just,0.19000000000000003,26.930000000000003
an,0.19,27.120000000000005
act,0.17999999999999997,27.300000000000004
of,0.20999999999999996,27.510000000000005
letting,0.14,27.650000000000006
go,1.8599999999999999,29.510000000000005
but,0.08999999999999998,29.600000000000005
a,0.3,29.900000000000006
profound,0.21999999999999992,30.120000000000005
means,0.16,30.280000000000005
of,0.33,30.610000000000003
extending,0.44000000000000006,31.050000000000004
empathy,0.39,31.440000000000005
and,0.4699999999999999,31.910000000000004
understanding,0.43,32.34
to,0.27,32.61000000000001
others,0.29000000000000004,32.900000000000006
and,0.12,33.02
to,0.31000000000000005,33.330000000000005
oneself.,0.58,33.910000000000004
Through,0.21,34.120000000000005
this,0.3,34.42
"journey,",0.53,34.95
I've,0.24,35.190000000000005
learned,0.26,35.45
to,0.18,35.63
see,0.32,35.95
ourselves,0.39,36.34
not,0.27,36.61000000000001
just,0.21999999999999997,36.830000000000005
as,0.16,36.99
we,0.18000000000000002,37.17
"are,",0.16000000000000003,37.33
but,0.14,37.47
as,0.18999999999999997,37.66
who,0.11999999999999998,37.779999999999994
we,0.16,37.93999999999999
can,0.21,38.14999999999999
become.,,38.14999999999999
It's,0.15000000000000002,38.29999999999999
in,0.15000000000000002,38.44999999999999
this,0.19999999999999998,38.64999999999999
space,0.35,38.99999999999999
between,0.3,39.29999999999999
who,0.15000000000000002,39.44999999999999
we,0.19999999999999996,39.64999999999999
were,0.13000000000000003,39.779999999999994
and,0.30000000000000004,40.07999999999999
who,0.15000000000000002,40.22999999999999
we,0.14,40.36999999999999
are,0.27,40.63999999999999
becoming,0.21000000000000002,40.849999999999994
that,0.19,41.03999999999999
true,0.25,41.28999999999999
growth,0.33,41.61999999999999
"occurs,",0.5399999999999999,42.15999999999999
where,0.17000000000000004,42.32999999999999
we,0.22999999999999998,42.55999999999999
learn,0.19,42.749999999999986
to,0.22,42.969999999999985
forgive,0.25999999999999995,43.22999999999998
and,0.27,43.499999999999986
embrace,0.28,43.77999999999999
the,0.3,44.079999999999984
fullness,0.25999999999999995,44.33999999999998
of,0.14,44.47999999999998
our,,44.47999999999998
humanity.,0.4800000000000001,44.95999999999998
As,0.15999999999999998,45.119999999999976
the,0.27999999999999997,45.39999999999998
realization,0.41999999999999993,45.81999999999998
of,0.18,45.99999999999998
my,0.21999999999999997,46.21999999999998
growth,0.31,46.52999999999998
settled,0.26,46.78999999999998
into,0.23,47.019999999999975
my,0.21000000000000002,47.229999999999976
"bones,",0.29000000000000004,47.519999999999975
I,0.21999999999999997,47.739999999999974
found,0.32000000000000006,48.059999999999974
myself,0.43000000000000005,48.489999999999974
reaching,0.29000000000000004,48.77999999999997
out,0.25,49.02999999999997
"more,",,49.02999999999997
not,0.21999999999999997,49.24999999999997
just,0.49,49.739999999999974
metaphorically,0.44999999999999996,50.189999999999976
but,0.26,50.449999999999974
physically.,,50.449999999999974
I,0.2,50.64999999999998
would,0.20999999999999996,50.85999999999998
grab,0.19,51.049999999999976
his,0.21999999999999997,51.269999999999975
arms,0.21000000000000002,51.479999999999976
in,0.22000000000000003,51.699999999999974
moments,0.19999999999999996,51.89999999999998
of,0.44999999999999996,52.34999999999998
"reconciliation,",,52.34999999999998
feeling,0.22000000000000003,52.56999999999998
the,0.21000000000000002,52.77999999999998
warmth,0.17,52.94999999999998
of,0.31000000000000005,53.259999999999984
forgiveness,0.41,53.66999999999998
flow,0.29,53.95999999999998
between,0.10999999999999999,54.06999999999998
us.,0.22999999999999998,54.299999999999976
I,0.22000000000000003,54.519999999999975
learned,0.18000000000000005,54.699999999999974
the,0.28,54.979999999999976
comfort,0.22000000000000003,55.199999999999974
of,0.31999999999999995,55.519999999999975
pressing,0.19,55.70999999999997
a,0.26999999999999996,55.979999999999976
sincere,0.13,56.10999999999998
apology,0.33,56.439999999999976
into,0.18999999999999997,56.629999999999974
my,0.23000000000000004,56.85999999999997
palm,0.30000000000000004,57.15999999999997
before,0.31999999999999995,57.47999999999997
offering,0.25,57.72999999999997
it,0.2,57.92999999999997
"up,",0.27,58.199999999999974
like,0.14,58.339999999999975
a,0.24000000000000005,58.57999999999998
sacred,0.32,58.89999999999998
vow.,0.4099999999999999,59.309999999999974
My,0.29000000000000004,59.59999999999997
"hands,",0.8,60.39999999999997
once,0.39999999999999997,60.79999999999997
clenched,0.27,61.06999999999997
in,0.35,61.41999999999997
"defiance,",0.49,61.909999999999975
now,0.33999999999999997,62.24999999999998
sought,0.24,62.48999999999998
others,0.16999999999999998,62.65999999999998
with,0.33,62.98999999999998
openness,0.29000000000000004,63.27999999999998
and,2.17,65.44999999999997
vulnerability.,,65.44999999999997
