,top_score_synthetic,top_explanation_init_strs,explanation_init_ngrams,module_num,fmri_test_corr
188,0.051,movement or action,"['started playing', 'up in new', 'grew up in', 'was replications of', 'was going to', 'is going to', 'up in two', 'started to scream', 'story begins in', 'up in dartmouth', 'up in providence', 'are going to', 'went to high', 'trained to eject', 'was not going', 'grew up on', 'grew up near', 'item originated from', 'thought yeah yeah', 'really dismayed to', 'started to sound', 'is triggered by', 'finally went to', 'went off', 'really should come', 'really started in', 'started to say', 'played with us', 'just heading for', 'was ready to', 'lives in texas', 'played college', 'actually lost', 'begins in in', 'got married in', 'up in oklahoma', 'joined the army', 'were going to', 'was expected to', 'parole aw yeah', 'ready to do', 'ready to uh', 'popped on impact', 'was born', 'day yeah it', 'supposed to start', 'joined the gym', 'flexibility mary kay', 'probably going to', 'ended slightly different', 'landed in brooklyn', 'was really tempted', 'is actually thinking', 'are able to', 'was really dismayed', 'appears out of', 'going to be', 'sudden insanely i', 'down in in', 'can can drive', 'went to talk', 'can start to', 'arrived on on', 'in dartmouth', 'was replications', 'tricia you know', 'can study', 'based modes', 'started writing about', 'wanted to ask', 'on repeat just', 'had played college', 'dropped out of', 'used to live', 'not going to']",143,0.628
178,0.05,interaction between two or more people,"['turned to me', 'turns to me', 'president looks into', 'she had this', 'some pubis sticking', 'says tricia', 'problem she', 'been raised that', 'and says tricia', 'he s he', 'i had this', 'she bought that', 'i turned to', 'sources the the', 'president put in', 'shy was cause', 'pokes her head', 'the church', 'that caught my', 'shy was', 'other things that', 'really frustrated him', 'pubis sticking out', 'he turns to', 'says to', 'that worried because', 'shit and he', 'said to', 'says to me', 'shit so she', 'president gives me', 'he had this', 'turned to my', 'i turn around', 'introduces herself and', 'shrink looks at', 'tricia you really', 'she she', 'zero there was', 'from guy to', 'panties and a', 'guy had a', 'sarah came to', 'navy and marine', 'law came over', 'things and military', 'panties and', 'showalter turns to', 'have an affair', 'had a daughter', 'men to', 'that also meant', 'therapist came in', 'occurs to me', 'closets and two', 'married have kids', 'she got this', 'have a daughter', 'know looked at', 'on one hand', 'back to that', 'sources the', 'took a deep', 'problem was', 'rudy leaves and', 'security was', 'other things', 'lie but she', 'they looked at', 'two closets and', 'rudy comes into', 'i ignored which', 'things up and', 'looks over at', 'of altercation']",119,0.635
42,0.048,"""um.""","['in the leg', 'um mm mm', 'and and um', 'do drum', 'um and um', 'to draw', 'how to draw', 'in between um', 'um and and', 'cliche um image', 'around and um', 'in other words', 'and um and', 'lothario', 'bla and um', 'be and um', 'who does the', 'playing an instrument', 'it was odd', 'artists model', 'how the hell', 'um mollify the', 'what the financial', 'halt um despite', 'in bars', ""i 'd rather"", 'and imitate because', 'um or in', 'doing my modeling', 'play the guitar', 'the hell did', 'off or anything', 'to um mollify', 'do drum circles', 'for that matter', 'in um she', 'ground and and', 'for exercise', 'um mm', 'whatever may', ""'s most popular"", 'be that certain', 'and um do', 'the for um', 'um mollify', 'mean and and', 'was and and', 'model um and', 'is is is', 'she films the', 'sign and as', 'when as', 'and um', 'tennis rackets', 'were are and', ""great what 's"", 'glastonbury festival in', 'how the heck', 'as a ski', 'between um her', 'ls ) in', 'out and um', 'is is', 'why the fuck', 'to um rufisque', 'downhill main', '- e', 'wha fuck why', 'what was the', 'dates in college', 'how to play', 'the andy warhol', 'wait i i', 'artists model starts', 'cockerels um and']",124,0.633
199,0.045,"people and activities, such as orthopedist, confidant, conscientious objector, women, make up, and calligrapher","['another orthopedist', 'orthopedist', 'another orthopedist whom', 'orthopedist whom', 'confidant', 'to another orthopedist', 'unannounced', 'styrofoam plate', 'unsent greeting cards', ""who 's paroled"", 'photosensitive epilepsy', 'styrofoam', 'a confidant', 'up unannounced', 'round styrofoam plate', 'photosensitive epilepsy so', 'round styrofoam', 'treatment of depression', 'of epilepsy', 'living with epilepsy', 'epilepsy', 'unredeemable sinners and', 'conscientious objector', 'made up now', 'who have been', 'unredeemable sinners', 'tint the windows', 'and a confidant', 'orthopedist whom she', 'up unannounced at', 'or care what', 'epilepsy and', 'for women who', 'epilepsy so', 'epilepsy and the', 'styrofoam plate with', 'of epilepsy the', 'organic environmentally friendly', 'and neuro neuroscience', 'with epilepsy', 'pronounce', 'crocheted', 'and make up', 'frosty pink lipstick', 'amicably', 'unredeemable', 'unannounced at', 'crocheted case', 'guilty unredeemable sinners', 'calligrapher', 'secondhand smoke good', 'or mistranslated', 'of pneumatic', 'sculptures made out', 'and so elene', 'playing records or', 'calligrapher and', 'with someone or', 'have multiple surgeries', 'exorcising', 'unsent greeting', 'rinsing', 'and rinsing', ""n't even care"", 'sound proofing', 'or hemp', 'and frosty pink', 'abercormbie and', 'made up', 'with epilepsy and', 'hang up', 'yeah actually', 'had cared enough', 'of therapists', 'guilty unredeemable']",114,0.636
163,0.041,"""got ta"" or ""theme song""","['got to say', 'something was up', 'bye bye bye', 'got ta go', 'got ta get', 'got ta do', 'the theme song', 'got ta be', 'got ta you', 'main rotor blades', 'so slow', 'one problem was', 'downhill main', 'main rotor blade', 'one thing that', 'this was all', ""wo n't say"", 'bye bye', 'dingy little rooms', 'theme song and', 'that was all', 'downhill main rotor', 'one thing i', 'theme song', 'this fo you', 'girls', 'got ta take', 'hey babe that', 'got ta lot', ""babe that 's"", 'the swim test', 'ra ra ra', 'the articulation in', 'there was something', 'lap belts on', 'leg in four', 'little red cart', 'girls theme song', 'theme song from', 'cabin i mean', 'idyllic lake and', 'theme', 'was all about', 'the theme', 'camper van and', 'the main rotor', 'had a theme', 'li i mean', 'au pair garcon', ""ca n't put"", 'got to get', 'the gold group', 'so slow that', 'got ta catch', 'to the theme', 'na draw the', 'thing about the', 'theme song on', 'little lap belts', 'was just that', 'lap belts', ""wo n't go"", ""wo n't do"", 'so this conversation', 'the articulation', 'na draw', 'of mad cupid', 'tiny little trees', 'my little red', 'theme she', 'was just about', 'so much easier', 'the thing about', 'the other thing', 'hey babe there']",108,0.638
191,0.041,legal or administrative action,"['esta bien and', 'license', 'persuasion', 'cost', 'esta bien', 'she meets', 'stripes', 'available in the', 'french', 'available in', 'disclaimers', 'purchased', 'he leaves', 'in full', 'qualifying exam', 'lack', 'toss', 'proclamation', 'she offers', 'a chance', 'bien and', 'certificate', 'virginia', 'to um rufisque', 'an alcohol', 'sold', 'an extensive', 'allows', 'a variety', 'photographed', 'miles eight', 'medical examinations from', 'observation', 'whatever', 'similar', 'absence', 'remains', 'engagement', 'possible', 'convinced', 'grant', 'license to', 'affair', 'mutually', 'extent', 'alternate ithaca', 'per', 'adoptive', 'coke i', 'the biennial', 'the contents', 'hobby', 'available uh', 'seating', 'extensive', 'agreement', 'operated tape', 'separated', 'cameras', 'once', 'certain', 'lipstick', 'my qualifying exam', 'brief moment', 'a silver', 'plastic', 'costing', 'advertisement', 'available', 'convincing', 'battery of', 'the school newspaper', 'atomic', 'not exist', 'an eight']",123,0.634
20,0.038,"contractions with the word ""not"" (n't)","[""demand you 're"", ""was n't ready"", ""is n't happening"", ""ca n't wear"", 'well just snap', ""n't touch you"", 'reaches out like', ""'s ready for"", 'would never see', ""n't wanna meet"", ""ca n't keep"", ""ai n't"", ""n't um uh"", 'reached out to', 'reached out', 'used to come', ""ca n't buy"", ""n't ever like"", ""was n't like"", 'just came out', ""n't adopt you"", ""it 's okay"", ""was n't expecting"", ""was n't until"", ""n't grow do"", 'slowly stand back', ""n't happening is"", ""ca n't back"", ""n't develop do"", ""'d never seen"", 'came off and', ""ai n't here"", ""n't been my"", ""n't want anyone"", 'never wanna see', ""n't want you"", ""n't belong"", ""would n't apologize"", ""ca n't take"", ""why are n't"", ""n't leave my"", 'know nuh none', ""was n't gon"", ""n't mind my"", ""'s okay to"", ""n't belong there"", ""ca n't i"", ""'s okay okay"", ""ca n't blame"", ""ca n't be"", ""n't go now"", ""n't do n't"", ""n't stop do"", 'sh i come', 'lets loose with', 'had never seen', ""n't wanna bother"", ""n't go with"", ""n't apologize she"", 'really ought to', ""n't want something"", ""n't stop i"", ""n't leave"", ""just was n't"", ""ca n't we"", ""n't walk away"", ""ca n't believe"", ""really does n't"", ""has n't seen"", ""n't always know"", ""do n't belong"", ""he ai n't"", ""n't back out"", ""it 's it"", 'was ready to']",130,0.631
38,0.038,reference to henry david thoreau,"['thoreau and', 'morph', 'yeah yeah whatever', 'mm mm so', 'thoreau fellow', 'yeah yeah that', 'hopping dots morph', 'thoreau fellow and', 'to camp thoreau', 'magazine and he', 'explain so i', 'totally get it', 'clemens and', 'uh so cause', 'dots morph', 'proofing problem and', 'yeah the reason', 'and lucidity', 'yeah yeah', 'b', 'example he', 'okay uh and', 'thoreau on', 'deductible', 'as sloth because', 'at camp thoreau', 'reason that', 'and b he', 'solution so', 'problem and um', 'and broncos', 'point so', 'yeah yeah yeah', 'yeah whatever', 'second that', 'uh and that', 'morph back', 'blah blah not', 'harry potter where', 'strap and then', 'mm so', 'then pull three', 'b he', 'sloth because', 'ndepp is that', 'well yeah', 'uh uh i', 'memorial day that', 'deflect um y', 'and b', 'get that', 'broncos', 'hit and', 'strap and', 'yeah go go', 'mean by that', 'and gi joe', 'bang and', 'second reason', 'and imitate because', 'uh oh my', 'second reason is', 'thoreau that', 'well um yes', 'the second reason', 'digression i', 'uh uh this', 'objector and so', 'uh alright and', 'shorts for', 'solution and', 'pragmatic than', 'thoreau on an', 'solution and then', 'uh uh uh']",182,0.62
56,0.037,"""um"" as a filler word","['couple of summers', 'house um we', 'things um and', 'house um this', 'unexpected so while', 'things um have', 'then like old', 'really so i', 'cab um so', 'exists um this', 'before so so', 'parents um so', 'funny but i', 'years um but', 'parents used to', 'um and so', 'mom um reassured', 'like the nouns', 'i and um', 'back some years', 'road um very', 'behavior um uh', 'strongly but', 'about um not', 'so after like', 'maybe because', 'last few', 'honest but um', 'seriously so he', 'then um which', 'can can drive', 'um have', 'um and we', 'the summers', 'true so i', 'up from florida', 'um some of', 'well um as', 'um some', 'but um we', 'uh last few', 'but like from', 'was like but', 'appropriate but but', 'um but uh', 'then um', 'be like after', 'understandable but in', 'then um they', 'um and the', 'but um', 'um and she', 'um and he', 'um once', 'is is is', 'um but and', 'he um but', 'reunion but um', 'are some', 'nouns and the', 'says um', 'reunion um so', 'bit funny but', 'or maybe because', 'weird from where', 'like well', 'partners um some', 'that and like', 'if if the', 'can and then', 'before in', 'is if', 'very strongly but', 'the verbs are', 'hon like like']",199,0.613
67,0.035,activities or tasks that involve some form of effort or action,"['breathe i did', 'watch and every', ""dante 's inferno"", 'insanely i run', 'really really hard', 'running around and', 'running around', 'loved love love', 'helped me and', 'catherine the smarter', 'walk run drop', 'hate i hate', 'seconds and every', ""reading dante 's"", 'marie claire magazine', 'laws of supply', 'treatment of depression', 'tease them and', 'loved it', 'walk run', 'of supply and', 'a swim test', 'how hard', 'chases me and', 'of pneumatic tubes', 'guilty unredeemable sinners', ""i 've walked"", 'loved them i', 'july christmas', 'and running all', 'loved them', 'tennis rackets and', 'i hated and', 'watched my daughter', 'watch and', 'knew me really', 'running around doing', 'love love', 'took needlepoint directing', 'years of babysitting', 'lines and there', 'try and', 'relieving', 'was every second', 'how to draw', 'watching espn', ""'s inferno"", 'swivel the lights', 'sam i did', 'and every forty', 'through every misfortune', 'and using every', 'around and i', 'really really really', 'assistants to madame', 'watching and', 'looking and looking', 'what they did', 'really love backflipping', 'and looking and', 'i try and', 'deadly sins acedia', 'i look up', 'how come i', 'really really horrible', 'their easels and', 'play and every', 'watching espn and', 'know and they', 'i looked up', 'i really hated', 'and untangles and', 'really tried to', 'and i pause', 'their brisket and']",26,0.679
