,pSTS,M1F,OPA,OPA_only,Broca,SMFA,M1M,V3A,V3B,ATFP,FO,PPA,PPA_only,hMT,LO,PMvh,V1,V2,V3,V4,V7,FEF,AC,OFA,SEF,VO,S1H,IFSFP,S1M,S1F,EBA,M1H,RSC,RSC_only,sPMv,IPS,SMHA,FFA
0,that the upper,taping their burns,was acting crazy,are a gay,thinking about all,late and,runs out crying,down the embankment,in nineteen fifty,was acting crazy,fainted a lot,die like you,nineteen seventy,three hundred fifty,'s nineteen seventy,cost of wrecking,two seventy five,'s nineteen seventy,'s nineteen seventy,'s nineteen seventy,kiss us every,sick or whatever,that the upper,nineteen thity five,heater kept breaking,'s nineteen seventy,napa,ruining everything and,wrong name on,noisy,died that night,wastes,his face split,a hand poking,ruining everything and,retorted rather loudly,was henley royal,not die
1,only the common,slit that neck,joking a,he 's gay,community run and,soaked through,coughing a little,face plant into,of nineteen fifty,just screaming and,was acting crazy,die like,nineteen sixty,flight fifteen,fifteen forty nine,actually hans,return hans,of nineteen ninety,in nineteen fifty,in nineteen fifty,father speaking russian,died that night,the upper,two thousand fifty,also i fainted,of nineteen eighty,old as,strategy is ultimately,hysterically screaming,hit and,knew months ago,says you sent,pulled a muscle,feet hanging over,a complete mess,yell and scream,been corked,s putting it
2,the upper,crashed and,by heedless overuse,he was gay,knowing that i,lip is,and mimed crying,on the forehead,and nineteen fifty,stalled and,almost stumbled and,cry both,of nineteen eighty,two thousand thirteen,of nineteen fifty,in the leg,so eighty five,twentieth nineteen ninety,of nineteen fifty,in nineteen seventy,nose is bleeding,cost a lot,along the top,'s nineteen seventy,collapsed later that,in nineteen seventy,loud as,i realized ultimately,bounced,spray and,alone but not,was mistakenly stacked,his hand curling,under his chin,n't really trust,was acting crazy,broke his shoulder,so do i
3,to trust myself,slipped and,acting crazy,was probably stoned,each semester,n't look blonder,out crying,tiny cut on,between nineteen fifty,shout and,knew better,twice as likely,eight hours south,two thousand sixteen,hundred ninety,return hans,eyebrows,two seventy five,in nineteen seventy,of nineteen fifty,walked right past,butchered a lot,build and,two thousand twenties,fallen back asleep,yelled,maybe two hundred,realized ultimately,scream out,been corked,crack or whate,begged,signing his letters,hands went underneath,a pretty terrible,fainted a lot,throat was slit,n't die
4,valued above all,he slipped and,semi jokingly,was a hindu,the upper,roof,heard him crying,down this embankment,'s nineteen seventy,yelling and,almost died and,is getting angrier,in nineteen thirty,two thousand fifty,twenty sixteen,was henley royal,hundred ninety,nine nineteen seventy,tiny cut on,was nineteen seventy,almost stumbled and,by heedless overuse,going up,four hundred five,insisted on feeding,two thousand sixteen,was mistakenly stacked,wrecking the world,na be naked,cheaper,just going i,created gets captured,one boob,her head underneath,complete mess,semi jokingly,missed and,and getting worse
5,breakfast cereal,broke his shoulder,lied and,was a gay,that the upper,throat was slit,screaming trying,walked right past,in nineteen sixty,almost crying out,know giggling all,us even harder,of nineteen sixty,four hundred five,of nineteen sixty,inflated,actually hans,in nineteen seventy,of nineteen ninety,and nineteen fifty,up kissed me,drank and,was going up,walked straight,electronically every month,fourteen ninety two,died as,offered absolute confidence,started bawling,average each,home with all,works and,one hand tied,towards the ceiling,being terrified of,almost died and,lower and,killed in
6,even the smallest,lower and,joke a lot,joking a,world that we,look blonder,was seen crying,up the coast,nineteen fifty,acting crazy,of failing exams,choke on,in nineteen fifty,two hundred fifty,january forty three,forever actually hans,revised again hans,in nineteen fifty,and nineteen fifty,of nineteen ninety,whispering in,and drinking too,going straight down,eight hundred seventy,fainted a lot,'s standing,stolen too,being manningly terrified,screaming naked,shotgun you,guilty but not,not safe,feigned innocence,over his shoulder,very weak and,almost stumbled and,four hundred five,getting it
7,like super super,shout and,you big wimp,she 's jewish,being terrified of,soaking through,almost stumbled and,nose is bleeding,nineteen sixty,he cried out,giggling all the,him a hearing,in nineteen seventy,four thirty,and nineteen fifty,hitting him like,eight hundred seventy,until nineteen seventy,was nineteen seventy,fourteen ninety,guard spotted us,of failing exams,go up,three hundred ninety,and slept every,until nineteen seventy,return hans,prepping and generally,and dying holding,late and,knew and,maybe two percent,taping their burns,on his butt,very heavy,cried and,closed and,all win
8,i really really,n't stick and,him semi jokingly,by heedless overuse,having to sleep,crying,up alone crying,fountain right there,nineteen thity five,mumbled and,yell and scream,response was nah,nineteen forty,hour drive down,was nineteen seventy,york hans,of nineteen ninety,in nineteen ninety,nine nineteen seventy,between nineteen fifty,realized we left,different by mistake,debit,october nineteen forty,knocked myself unconscious,vic who,fixed and,terrified of everything,be naked,accidentally switched,and getting worse,wrong name on,nodded as if,that forms horizontal,a little scary,screamed,'s gone you,be written
9,you really really,the open back,acted like,of being indian,to trust myself,spots soaking through,forgot to pay,lip is split,in nineteen seventy,crying out,giggling all,sane,nineteen eighty,eight hundred seventy,twenty fifteen,as dirty as,in return hans,of nineteen eighty,between nineteen fifty,eighteen seventy,waved and,singing every song,helmets of the,'s nineteen forty,all snuck out,of nineteen fifty,said to morgan,valued above all,still howling,shout and,really really early,horrible descent,on one boob,onto the railing,weighty that,screams in her,corked,just going i
