word,timing,time_running
Once,0.27,0.27
upon,0.13,0.4
a,0.18,0.58
moment,0.38,0.96
in,0.28,1.24
"time,",0.62,1.86
nestled,0.32,2.18
within,0.3,2.48
the,0.07,2.55
rhythmic,0.16,2.71
ticking,0.22,2.93
of,0.15,3.08
a,0.47,3.55
grandfather,0.48,4.03
"clock,",0.3,4.33
a,0.31,4.64
peculiar,0.46,5.1
event,0.57,5.67
unfolded.,0.3,5.97
It,0.16,6.13
all,0.25,6.38
began,0.3,6.68
when,0.17,6.85
young,0.28,7.13
"Thomas,",0.28,7.41
a,0.31,7.72
curious,0.36,8.08
boy,0.21,8.29
with,0.13,8.42
an,0.39,8.81
insatiable,0.55,9.36
appetite,0.32,9.68
for,0.25,9.93
"adventure,",0.71,10.64
discovered,0.29,10.93
an,0.27,11.2
ancient,0.27,11.47
pocket,0.32,11.79
watch,0.53,12.32
in,0.17,12.49
his,0.49,12.98
grandmother's,0.37,13.35
attic.,0.69,14.04
Little,0.28,14.32
did,0.16,14.48
he,0.13,14.61
know,0.29,14.9
that,0.17,15.07
this,0.08,15.15
seemingly,0.47,15.62
ordinary,0.49,16.11
trinket,0.26,16.37
would,0.14,16.51
soon,0.34,16.85
propel,0.25,17.1
him,0.15,17.25
into,0.2,17.45
a,0.3,17.75
world,0.21,17.96
where,0.25,18.21
minutes,0.21,18.42
and,0.25,18.67
hours,0.31,18.98
danced,0.45,19.43
to,0.08,19.51
the,0.22,19.73
tune,0.3,20.03
of,1.13,21.16
destiny.,0.3,21.46
A,0.19,21.65
minute,0.35,22
"later,",0.23,22.23
as,0.27,22.5
Thomas,0.38,22.88
examined,0.25,23.13
the,0.3,23.43
intricate,0.62,24.05
engravings,0.43,24.48
on,0.13,24.61
the,0.22,24.83
watch's,0.24,25.07
"surface,",0.3,25.37
he,0.24,25.61
felt,0.17,25.78
a,0.23,26.01
sudden,0.33,26.34
surge,0.19,26.53
of,0.27,26.8
energy,0.38,27.18
coursing,0.29,27.47
through,0.21,27.68
his,0.3,27.98
veins.,0.85,28.83
An,0.3,29.13
hour,0.26,29.39
"later,",0.3,29.69
he,0.22,29.91
found,0.33,30.24
himself,0.19,30.43
standing,0.27,30.7
in,0.21,30.91
front,0.3,31.21
of,0.12,31.33
a,0.36,31.69
mysterious,0.45,32.14
door,0.18,32.32
that,0.14,32.46
had,0.22,32.68
appeared,0.27,32.95
out,0.13,33.08
of,0.65,33.73
nowhere,0.18,33.91
in,0.15,34.06
his,0.2,34.26
room.,0.3,34.56
As,0.15,34.71
he,0.35,35.06
hesitated,0.37,35.43
to,0.21,35.64
turn,0.18,35.82
the,0.21,36.03
"knob,",0.3,36.33
the,0.33,36.66
doorbell,0.4,37.06
"rang,",0.18,37.24
heralding,0.26,37.5
the,0.3,37.8
arrival,0.23,38.03
of,0.15,38.18
an,0.37,38.55
unexpected,0.53,39.08
visitor,0.24,39.32
who,0.3,39.62
would,0.27,39.89
change,0.2,40.09
the,0.26,40.35
course,0.19,40.54
of,0.19,40.73
his,0.21,40.94
life,3.1,44.04
forever.,0.3,44.34
As,0.19,44.53
Thomas,0.33,44.86
opened,0.22,45.08
the,0.27,45.35
"door,",0.78,46.13
he,0.14,46.27
was,0.28,46.55
greeted,0.47,47.02
by,0.3,47.32
a,0.3,47.62
"tall,",0.79,48.41
enigmatic,0.12,48.53
figure,0.34,48.87
clad,0.3,49.17
in,0.25,49.42
a,0.26,49.68
tailored,0.4,50.08
suit.,0.3,50.38
The,0.3,50.68
stranger,0.45,51.13
introduced,0.44,51.57
himself,0.29,51.86
as,0.21,52.07
Mr.,1.47,53.54
"Tempus,",0.39,53.93
a,0.35,54.28
timekeeper,0.15,54.43
tasked,0.27,54.7
with,0.38,55.08
maintaining,0.31,55.39
the,0.3,55.69
