,explanation,stability,top_ngrams
208_only,years or dates in the 20th century,0.6616589712277461,"['until nineteen seventy', 'until nineteen sixty', 'of nineteen sixty', 'nineteenth nineteen forty', 'nineteen seventy', 'to nineteen forty', 'of nineteen fifty', 'was nineteen seventy', ""'s nineteen seventy"", 'in nineteen seventy', 'in nineteen fifty', 'nineteen ninety', 'between nineteen fifty', 'and nineteen fifty', 'twentieth nineteen ninety', 'of nineteen eighty', 'of nineteen ninety', 'was nineteen eighty', 'since nineteen eighty', 'before nineteen eighty', 'in nineteen sixty', ""'s nineteen forty"", 'of nineteen forty', 'until nineteen ninety', 'and nineteen thirty', 'in nineteen ninety', 'nineteen eighty', 'nineteen sixty', 'between nineteen thirty', 'nine nineteen seventy', 'nineteen thity five', 'nineteen forty', 'in nineteen thirty', 'two thousand four', 'in nineteen thity', 'in nineteen forty', 'nineteen thirty', 'on nineteen ninety', 'in nineteen eighty', 'nineteen thity', 'october nineteen forty', 'thousand fourteen', 'about nineteen seventy', 'april nineteen forty', 'am turning forty', 'two thousand two', 'this nineteen seventy', 'eighteen nineteen', 'nineteen fifty', 'two thousand fifty', 'year two thousand', 'eighteen seventy', 'was twenty nine', 'two thousand nine', ""'m twenty eight"", 'day nineteen forty', 'july nineteen forty', 'our nineteen eighty', 'the nineteen eighty', 'two thousand seven', 'thousand eleven', 'two thousand eleven', 'one nineteen forty', 'thousand thirteen', 'thousand and nine', ""'m twenty three"", 'two thousand thirteen', 'age of forty', 'age thirty five', 'remember nineteen seventy', 'two thousand eight', 'is turning ninety', 'in eighteen eighty', 'april of nineteen', 'was twenty eight', 'now twenty five', 'like eighteen nineteen', 'two thousand fourteen', 'i was thirty', 'am forty years', 'was twenty six', 'was thirty eight', 'am thirty years', 'thousand nine', 'mid nineteen forties', 'born twelve years', 'proof nineteen seventy', 'i am thirty', 'was forty three', 'sixteen seventeen', 'hundred ninety', 'was sixteen seventeen', 'been twenty five', 'june of nineteen', 'eighteen eighty', 'thousand sixteen', 'two thousand and', 'september nineteenth nineteen', 'thousand twelve', 'daughter is nineteen']"
207_only,years or dates in the 20th century,0.6368898411053835,"['twentieth nineteen ninety', 'nineteenth nineteen forty', 'of nineteen sixty', 'nine nineteen seventy', 'and nineteen fifty', 'of nineteen fifty', 'nineteen ninety', 'nineteen seventy', 'was nineteen seventy', 'and nineteen thirty', ""'s nineteen seventy"", 'in nineteen fifty', 'was nineteen eighty', 'nineteen sixty', ""'s nineteen forty"", 'nineteen thirty', 'nineteen fifty', 'until nineteen sixty', 'in nineteen sixty', 'until nineteen seventy', 'october nineteen forty', 'in nineteen seventy', 'between nineteen fifty', 'nineteen thity five', 'of nineteen ninety', 'nineteen thity', 'to nineteen forty', 'of nineteen eighty', 'two thousand four', 'year two thousand', 'two thousand fifty', 'in nineteen ninety', 'on nineteen ninety', 'nineteen eighty', 'of nineteen forty', 'before nineteen eighty', 'april nineteen forty', 'nineteen forty', 'between nineteen thirty', 'two thousand nine', 'one nineteen forty', 'until nineteen ninety', 'eighteen nineteen', 'two thousand two', 'fifty sixty seventy', 'since nineteen eighty', 'july nineteen forty', 'in nineteen thirty', ""'m twenty eight"", 'thousand and nine', 'day nineteen forty', 'in nineteen thity', 'in nineteen eighty', 'september nineteenth nineteen', 'two thousand seven', 'two thousand eight', 'in nineteen forty', 'eighteen seventy', 'thousand fourteen', 'this nineteen seventy', 'three thousand seven', 'was twenty nine', 'about nineteen seventy', 'hour thirty forty', 'age thirty five', 'june of nineteen', 'thousand nine', 'thousand and eight', ""'m twenty three"", 'thousand fifty', 'was twenty eight', 'thousand eleven', 'march twentieth nineteen', 'thousand thirteen', 'two thousand eleven', 'thousand twelve', 'april of nineteen', 'five thousand three', 'was forty three', 'our nineteen eighty', 'twenty thousand fifty', 'day nineteen eighty', 'bit nineteen sixty', 'was thirty eight', 'sixty seventy', 'was sixteen seventeen', 'twenty thirty', 'seven hundred and', 'nineteenth nineteen', 'thirty forty', 'eight hundred seventy', 'eighteen eighty', 'sixteen seventeen', 'remember nineteen seventy', 'six hundred and', 'in eighteen eighty', 'two thousand thirteen', 'of october nineteen', 'proof nineteen seventy', 'am turning forty']"
180_only,years or dates in the 20th century,0.6941690861351659,"['of nineteen sixty', 'until nineteen sixty', 'until nineteen seventy', 'of nineteen ninety', 'to nineteen forty', 'of nineteen eighty', 'in nineteen sixty', 'of nineteen forty', 'on nineteen ninety', 'of nineteen fifty', 'in nineteen seventy', 'until nineteen ninety', 'before nineteen eighty', 'twentieth nineteen ninety', 'in nineteen ninety', 'nineteen seventy', 'april nineteen forty', 'nine nineteen seventy', ""'s nineteen seventy"", 'in nineteen fifty', 'nineteen ninety', 'was nineteen seventy', 'and nineteen thirty', 'october nineteen forty', 'since nineteen eighty', 'was nineteen eighty', 'and nineteen fifty', ""'s nineteen forty"", 'in nineteen thirty', 'nineteen sixty', 'between nineteen fifty', 'july nineteen forty', 'nineteenth nineteen forty', 'in nineteen forty', 'in nineteen eighty', 'nineteen eighty', 'this nineteen seventy', 'nineteen thirty', 'remember nineteen seventy', 'our nineteen eighty', 'between nineteen thirty', 'about nineteen seventy', 'one nineteen forty', 'nineteen forty', 'in eighteen eighty', 'day nineteen forty', 'proof nineteen seventy', 'september nineteenth nineteen', 'the nineteen eighty', 'nineteen fifty', 'day nineteen eighty', 'texas nineteen sixty', 'bit nineteen sixty', 'of october nineteen', 'in fourteen ninety', 'june of nineteen', 'april of nineteen', 'nineteen thirty nine', 'march twentieth nineteen', 'eighteen seventy', 'october of nineteen', 'of april nineteen', 'was july thirtieth', 'in nineteen thity', 'nineteen thity five', 'in nineteen thirteen', 'eighteen eighty', 'october nineteen', 'nineteen fifty three', 'nineteen ninety four', 'a nineteen thirty', 'nineteen sixty two', 'year two thousand', 'nineteen thirteen', 'nineteen sixty one', 'nineteen forty one', 'nineteen sixty seven', 'nineteen sixty three', 'years before nineteen', 'eighteen nineteen', 'nineteen forty two', 'was september twenty', 'nineteen seventy seven', 'eighteen seventy three', 'nineteen ninety one', 'nineteen fifty two', 'nineteen seventy nine', 'nineteen thirty one', 'nineteen forty three', 'between twenty fifteen', 'nineteen oh six', 'nineteenth nineteen', 'nineteen sixty nine', 'summer of nineteen', 'nineteen oh', 'nineteen thirty three', 'thousand fourteen', 'july nineteen', 'like eighteen nineteen', 'nineteen forty seven']"
164_only,years or dates in the 20th century,0.6751951115833875,"['until nineteen seventy', 'of nineteen forty', 'of nineteen ninety', 'until nineteen sixty', 'to nineteen forty', 'until nineteen ninety', 'of nineteen sixty', 'on nineteen ninety', 'of nineteen eighty', 'april nineteen forty', 'in nineteen ninety', 'in nineteen seventy', 'twentieth nineteen ninety', 'in nineteen forty', 'october nineteen forty', 'in nineteen sixty', 'nineteen ninety', 'nineteen seventy', ""'s nineteen forty"", ""'s nineteen seventy"", 'before nineteen eighty', 'nine nineteen seventy', 'and nineteen thirty', 'of nineteen fifty', 'in nineteen thirty', 'in nineteen fifty', 'july nineteen forty', 'was nineteen seventy', 'was nineteen eighty', 'in nineteen eighty', 'since nineteen eighty', 'nineteenth nineteen forty', 'nineteen eighty', 'remember nineteen seventy', 'this nineteen seventy', 'nineteen thirty', 'nineteen thirty nine', 'nineteen forty', 'and nineteen fifty', 'proof nineteen seventy', 'nineteen sixty', 'in nineteen thirteen', 'our nineteen eighty', 'nineteen sixty three', 'one nineteen forty', 'about nineteen seventy', 'nineteen thirteen', 'nineteen forty one', 'in eighteen eighty', 'of october nineteen', 'day nineteen forty', 'nineteen forty three', 'nineteen forty two', 'nineteen seventy nine', 'nineteen sixty seven', 'texas nineteen sixty', 'in fourteen ninety', 'sixty years ago', 'nineteen ninety one', 'between nineteen fifty', 'september nineteenth nineteen', 'nineteen sixty one', 'day nineteen eighty', 'of april nineteen', 'nineteen ninety four', 'nineteen fifty three', 'nineteen sixty two', 'the nineteen eighty', 'nineteen thirty three', 'drove from vermont', 'nineteen seventy seven', 'nineteen sixty eight', 'summer of nineteen', 'eighteen seventy three', 'nineteen eleven', 'nineteen sixty nine', 'april of nineteen', 'nineteen forty four', 'was july thirtieth', 'nineteen thirty one', 'years before nineteen', 'between nineteen thirty', 'nineteen eighty three', 'nineteen oh six', 'in twenty eleven', 'nineteen forty seven', 'june of nineteen', 'nineteen fifty', 'nineteen forty eight', 'uh nineteen eleven', 'march twentieth nineteen', 'anniversary of my', 'rhodesia to zimbabwe', 'october of nineteen', 'eighteen years before', 'nineteen eighty one', 'nineteen ninety six', 'nineteen eighty nine', 'bit nineteen sixty', 'same friend that']"
191_only,years or dates in history,0.6895625950019977,"['of nineteen sixty', 'of nineteen fifty', 'of nineteen ninety', 'in nineteen seventy', 'nineteen seventy', 'in nineteen sixty', 'of nineteen eighty', 'nine nineteen seventy', 'between nineteen fifty', 'of nineteen forty', ""'s nineteen seventy"", 'in nineteen fifty', 'was nineteen seventy', 'nineteen ninety', 'between nineteen thirty', 'in nineteen thirty', 'nineteen sixty', ""'s nineteen forty"", 'twentieth nineteen ninety', 'nineteen thirty', 'and nineteen thirty', 'on nineteen ninety', 'in nineteen ninety', 'and nineteen fifty', 'was nineteen eighty', 'until nineteen sixty', 'until nineteen seventy', 'before nineteen eighty', 'since nineteen eighty', 'to nineteen forty', 'nineteen eighty', 'in nineteen eighty', 'in eighteen eighty', 'october nineteen forty', 'in nineteen forty', 'about nineteen seventy', 'bit nineteen sixty', 'nineteen fifty', 'nineteen forty', 'a nineteen thirty', 'our nineteen eighty', 'nineteenth nineteen forty', 'until nineteen ninety', 'one nineteen forty', 'this nineteen seventy', 'proof nineteen seventy', 'april nineteen forty', 'eighteen seventy', 'remember nineteen seventy', 'the nineteen eighty', 'july nineteen forty', 'two thousand fifty', 'twenty thousand fifty', 'texas nineteen sixty', 'in fourteen ninety', 'year two thousand', 'eighteen eighty', 'nineteen thirty nine', 'day nineteen eighty', 'in nineteen thity', 'two thousand four', 'day nineteen forty', 'june of nineteen', 'november two thousand', 'fourteen ninety', 'five thousand three', 'howard eighteen seventy', 'nineteen seventy seven', 'nineteen seventy nine', 'april of nineteen', 'eighteen seventy three', 'nineteen eighty eight', 'nineteen thirty three', 'of october nineteen', 'between twenty fifteen', 'september nineteenth nineteen', 'nineteen thity', 'in fifteen fifty', 'two thousand nine', 'october of nineteen', 'eight hundred seventy', 'three thousand seven', 'two thousand and', 'two thousand two', 'two thousand twenties', 'october nineteen', 'thursday november twenty', 'nineteen forty three', 'two thousand eight', 'nineteen thity five', 'nineteen thirty one', 'nineteen ninety four', 'september nineteenth', 'was september twenty', 'thousand fifty', 'late in nineteen', 'two thousand seven', 'like eighteen nineteen', 'nineteen forty two', 'thousand four']"
148_only,years or dates in history,0.7182878955106847,"['of nineteen sixty', 'of nineteen fifty', 'of nineteen forty', 'nineteen seventy', ""'s nineteen forty"", 'to nineteen forty', 'in nineteen fifty', 'and nineteen thirty', 'nineteen ninety', ""'s nineteen seventy"", 'october nineteen forty', 'in nineteen sixty', 'of nineteen ninety', 'twentieth nineteen ninety', 'in nineteen seventy', 'nine nineteen seventy', 'nineteen sixty', 'until nineteen sixty', 'nineteen thirty', 'in nineteen thirty', 'of nineteen eighty', 'nineteenth nineteen forty', 'in nineteen forty', 'nineteen forty', 'and nineteen fifty', 'april nineteen forty', 'until nineteen seventy', 'was nineteen seventy', 'nineteen eighty', 'on nineteen ninety', 'in nineteen ninety', 'july nineteen forty', 'between nineteen fifty', 'one nineteen forty', 'nineteen fifty', 'since nineteen eighty', 'in nineteen eighty', 'was nineteen eighty', 'before nineteen eighty', 'until nineteen ninety', 'this nineteen seventy', 'our nineteen eighty', 'between nineteen thirty', 'in eighteen eighty', 'in nineteen thity', 'proof nineteen seventy', 'eighteen seventy', 'about nineteen seventy', 'texas nineteen sixty', 'a nineteen thirty', 'the nineteen eighty', 'day nineteen forty', 'bit nineteen sixty', 'september nineteenth nineteen', 'remember nineteen seventy', 'year two thousand', 'in fourteen ninety', 'nineteen thity', 'nineteen thirty nine', 'june of nineteen', 'two thousand four', 'april of nineteen', 'nineteen forties', 'eighteen eighty', 'two thousand fifty', 'two thousand nine', 'day nineteen eighty', 'of october nineteen', 'in nineteen thirteen', 'eighteen seventy three', 'nineteen forty three', 'nineteen thirty three', 'nineteen thity five', 'nineteen thirteen', 'october of nineteen', 'two thousand eleven', 'nineteen forty two', 'october nineteen', 'nineteen ninety four', 'eighteen nineteen', 'nineteen seventy nine', 'like eighteen nineteen', 'nineteen forty one', 'thousand fourteen', 'nineteen thirty one', 'two thousand eight', 'two thousand two', 'march twentieth nineteen', 'nineteen seventy seven', 'nineteen fifty three', 'two thousand seven', 'the eighteen forties', 'eighteen forties', 'thousand nine', 'nineteen oh six', 'thousand eleven', 'in fifteen fifty', 'nineteen oh', 'two thousand twenties', 'of april nineteen']"
55_only,years or dates in history,0.6055943717728345,"['of nineteen sixty', 'nine nineteen seventy', ""'s nineteen seventy"", 'was nineteen seventy', 'nineteen seventy', 'of nineteen eighty', 'until nineteen sixty', 'of nineteen ninety', 'and nineteen thirty', ""'s nineteen forty"", 'of nineteen fifty', 'between nineteen fifty', 'until nineteen seventy', 'was nineteen eighty', 'of nineteen forty', 'and nineteen fifty', 'in nineteen seventy', 'in nineteen sixty', 'nineteen ninety', 'nineteen sixty', 'april nineteen forty', 'october nineteen forty', 'twentieth nineteen ninety', 'on nineteen ninety', 'to nineteen forty', 'one nineteen forty', 'nineteenth nineteen forty', 'before nineteen eighty', 'between nineteen thirty', 'nineteen thity', 'in nineteen thity', 'remember nineteen seventy', 'nineteen eighty', 'nineteen thirty', 'since nineteen eighty', 'eighteen seventy', 'in nineteen fifty', 'until nineteen ninety', 'july nineteen forty', 'this nineteen seventy', 'about nineteen seventy', 'in nineteen ninety', 'day nineteen forty', 'in nineteen thirty', 'nineteen forty', 'bit nineteen sixty', 'in eighteen eighty', 'two thousand four', 'our nineteen eighty', 'in nineteen eighty', 'eighteen eighty', 'proof nineteen seventy', 'fifty sixty seventy', 'the nineteen eighty', 'eighteen seventy three', 'nineteen fifty', 'two thousand fifty', 'in nineteen forty', 'year two thousand', 'july thirtieth', 'nineteen thirty nine', 'was july thirtieth', 'thursday november twenty', 'day nineteen eighty', 'nineteen thity five', 'nineteen fifty three', 'nineteen oh', 'two thousand two', 'in fourteen ninety', 'nineteen fifty two', 'april of nineteen', 'nineteen thirty one', 'was september twenty', 'november two thousand', 'september twenty first', 'seventy to twenty', 'two thousand and', 'eight hundred seventy', 'sixteen oh four', 'five thousand three', 'june of nineteen', 'nineteen seventy nine', 'nineteen sixty two', 'nineteen ninety four', 'nineteen sixty one', 'nineteen seventy seven', 'nineteen ninety one', 'twenty thousand fifty', 'thousand or eighty', 'nineteen seventy four', 'of october nineteen', 'texas nineteen sixty', 'january forty three', 'nineteen forty one', 'october nineteen', 'nineteen forty three', 'september nineteenth nineteen', 'nineteen fifty five', 'november twenty', 'eighteen nineteen']"
222_only,years and numbers,0.6248630400660671,"['nineteen thity', 'two thousand two', 'two thousand four', 'nineteenth nineteen forty', 'between nineteen fifty', 'nineteen seventy', 'age of forty', 'two thousand nine', 'eighteen nineteen', 'fifties and early', 'sixties and early', 'was nineteen seventy', 'eighteen seventy', 'day nineteen', 'two thousand seven', 'between nineteen thirty', 'in nineteen thity', 'sixteen seventeen', 'hour and twenty', 'thousand and nine', 'and nineteen fifty', 'three thousand seven', 'of her ninety', 'two thousand fifty', 'nineteen ninety', 'of nineteen sixty', 'until nineteen seventy', 'twentieth nineteen ninety', 'was twenty nine', 'until nineteen sixty', ""'s nineteen seventy"", 'ninety', 'two thousand eight', 'to nineteen forty', 'an hour thirty', 'fifty sixty seventy', 'thousand fourteen', 'thousand nine', 'seven hundred and', 'nineteen eighty', 'was nineteen eighty', 'of nineteen fifty', 'the intervening fifteen', 'nineteen thity five', 'age thirty five', 'nine nineteen seventy', 'thousand four', 'thousand or eighty', 'hundred ninety', 'five thousand three', 'and nineteen thirty', 'two hundred and', 'before nineteen eighty', 'was forty three', 'de', 'since nineteen eighty', 'nineteenth and twentieth', 'nineteen forty', 'been forty one', 'nineteen sixty', ""'s nineteen forty"", 'thirty forty', 'seventy', 'four hundred and', 'hour thirty forty', 'three hundred ninety', 'the nineteen eighty', 'one hundred and', 'of nineteen eighty', 'thousand two', 'thousand seven', 'to be seventy', 'day eighteen', 'in nineteen seventy', 'one and nineteen', 'thousand eight', 'one nineteen forty', 'eighteen eighty', 'were all forty', 'be seventy five', 'hundred and thirty', 'week two hundred', 'turning ninety years', 'thousand and four', 'in nineteen fifty', 'three hundred and', 'thousand thirteen', 'six hundred and', 'nineteen thirty', 'two thousand eleven', 'two full decades', 'ninety and', 'age thirty', 'thousand and five', 'forties', 'was nineteen years', 'thousand and eight', 'eighties and early', 'of nineteen ninety', 'nineteen fifty']"
221_only,years and numbers,0.6647608533743777,"['nineteen thity', 'two thousand four', 'two thousand nine', 'twentieth nineteen ninety', 'nineteenth nineteen forty', 'nineteen seventy', 'two thousand two', 'thousand and nine', 'two thousand fifty', 'and nineteen fifty', 'two thousand seven', 'nine nineteen seventy', 'three thousand seven', 'two thousand eight', 'nineteen ninety', 'fifty sixty seventy', 'nineteen thity five', 'nineteen fifty', 'of nineteen fifty', 'nineteen sixty', 'two thousand eleven', 'eighteen nineteen', 'thousand nine', 'five thousand three', 'nineteen thirty', 'of nineteen sixty', 'sixteen seventeen', 'between nineteen fifty', 'eighteen seventy', 'thirty forty', 'colored only white', 'thousand and eight', 'nineteen forty', 'was nineteen seventy', 'and nineteen thirty', ""'s nineteen seventy"", 'nineteen eighty', 'thousand fourteen', 'age thirty five', 'one nineteen forty', 'thousand twelve', 'was nineteen eighty', 'thousand eleven', ""'s nineteen forty"", 'two thousand thirteen', 'six hundred and', 'to nineteen forty', 'hour thirty forty', 'until nineteen sixty', 'seven hundred and', 'thousand thirteen', 'an hour thirty', 'in nineteen thity', 'thousand four', 'until nineteen seventy', ""'m twenty eight"", 'thousand eight', 'longer and thicker', 'eighteen eighty', 'in nineteen fifty', 'three hundred ninety', 'one hundred and', 'before nineteen eighty', 'this nineteen seventy', 'between nineteen thirty', 'thousand and six', 'was forty three', 'four hundred and', 'nineteenth nineteen', 'thousand and four', 'was twenty nine', 'of nineteen ninety', 'thousand fifty', 'of nineteen eighty', 'three hundred and', 'one silver one', 'hundred ninety', 'forty silver twenty', 'year two thousand', 'two thousand and', 'thousand three', 'am turning forty', 'twenty thousand fifty', 'two hundred and', 'in nineteen seventy', 'one and nineteen', 'thousand seven', 'sixty seventy', 'since nineteen eighty', 'had three floors', 'october nineteen forty', 'eight hundred seventy', 'day nineteen', 'two thousand twenties', 'thirty three', 'two thousand fourteen', 'thousand two', 'day nineteen forty', 'twenty thirty', 'week two hundred']"
147_only,years and dates in the 20th century,0.7222433451088394,"['of nineteen fifty', 'of nineteen sixty', 'october nineteen forty', ""'s nineteen forty"", 'to nineteen forty', 'of nineteen forty', 'in nineteen sixty', 'until nineteen sixty', 'april nineteen forty', 'nine nineteen seventy', 'twentieth nineteen ninety', 'nineteen sixty', 'in nineteen fifty', ""'s nineteen seventy"", 'and nineteen fifty', 'nineteenth nineteen forty', 'and nineteen thirty', 'of nineteen ninety', 'july nineteen forty', 'nineteen seventy', 'nineteen ninety', 'until nineteen seventy', 'on nineteen ninety', 'in nineteen seventy', 'of nineteen eighty', 'in nineteen forty', 'in nineteen thirty', 'nineteen thirty', 'my black chevy', 'was nineteen seventy', 'nineteen forty', 'nineteen fifty', 'in nineteen ninety', 'was nineteen eighty', 'until nineteen ninety', 'between nineteen fifty', 'one nineteen forty', 'texas nineteen sixty', 'little red chevy', 'before nineteen eighty', 'a nineteen thirty', 'bit nineteen sixty', 'this nineteen seventy', 'in eighteen eighty', 'our nineteen eighty', 'nineteen eighty', 'in nineteen eighty', 'between nineteen thirty', 'since nineteen eighty', 'fifteen meters fifty', 'proof nineteen seventy', 'in fourteen ninety', 'september nineteenth nineteen', 'june of nineteen', 'of october nineteen', 'march twentieth nineteen', 'remember nineteen seventy', 'day nineteen forty', 'april of nineteen', 'october nineteen', 'about nineteen seventy', 'year two thousand', 'nineteen thirty nine', 'was july thirtieth', 'nineteen forties', 'am turning forty', 'and frosty pink', 'october of nineteen', 'in fifteen fifty', 'day nineteen eighty', 'was january forty', 'in nineteen thity', 'two thousand twenties', 'our red ford', 'at thirty eight', 'the nineteen eighty', 'nineteen thity', 'rican half italian', 'twentieth nineteen', 'nineteen thirty one', ""'m twenty eight"", 'black chevy', 'eighteen seventy', 'was september twenty', 'dressed like gandalf', 'twenty thousand fifty', 'nineteen forty one', 'nineteen thity five', ""'m twenty three"", 'eighteen forties', 'this red ford', 'ancient blue hatchback', 'eighteen eighty', 'crusty baguettes crunchy', 'nineteen oh', 'at thirty nine', 'nineteen sixty seven', 'november two thousand', 'of april nineteen', 'nineteen oh six']"
