,pSTS,M1F,OPA,Broca,SMFA,M1M,V3A,V3B,ATFP,FO,PPA,hMT,LO,PMvh,V1,V2,V3,V4,V7,FEF,AC,OFA,SEF,VO,S1H,IFSFP,S1M,S1F,EBA,M1H,RSC,sPMv,IPS,SMHA,FFA,RSC_only,OPA_only,PPA_only
0,said excuse me,feelings i had,onto the railing,said excuse me,it felt magical,these long existential,jumble of emotions,it felt magical,who i googled,of nineteen sixty,on the railing,of my childhood,crises and successes,room went silent,that i impress,of my childhood,of my childhood,it felt magical,of my childhood,onto the railing,i provoked gasps,of my childhood,of outrage disdain,recall many instances,helps the soul,april nineteen forty,i felt empowered,feeling of freedom,wraps his arms,feeling of freedom,drove from vermont,one mississippi two,there were slats,it felt magical,flying arms flailing,came to florida,towards the ceiling,kind of corny
1,says excuse me,feeling of freedom,against the railing,says excuse me,one summer my,a deep existential,neuroses and anxieties,jumble of emotions,i tell people,nineteen sixty,on a dock,about my life,it felt magical,there we were,i tell people,sense of freedom,it felt magical,of my childhood,i can remember,i reach under,said excuse me,newfound self esteem,so one day,ways of thinking,my plan for,am turning forty,these long existential,helps the soul,lifted her dress,my newfound freedom,moved to vermont,said excuse me,onto the railing,gives me hope,arms flailing,back in israel,onto the railing,of bready puns
2,i stopped midstride,ways of thinking,on the railing,i provoked gasps,remember being fascinated,it felt magical,empathy and understanding,of my childhood,googling myself googling,in nineteen sixty,on the windowsill,resources or options,of my childhood,as we walked,i had options,sense of satisfaction,jumble of emotions,jumble of emotions,growing up we,against the railing,asked i laughed,so my shrink,how it feels,all this guilt,melting of ice,october nineteen forty,it felt magical,sense of closure,arms flailing,sense of freedom,drove to washington,mississippi two mississippi,on the railing,remember being fascinated,of torn fishnet,moved to london,on the ceiling,like burnt steak
3,room went silent,so many emotions,towards the river,retorted rather loudly,fourth grade crush,of outrage disdain,newfound self esteem,on some level,i quickly googled,october nineteen forty,mile of cornfields,crush their spirits,newfound self esteem,my newfound freedom,sense of freedom,remember being fascinated,generosity and compassion,crush their spirits,this horrible emptiness,situated herself behind,smiled i smiled,hurtful first dates,i said well,it felt magical,like my summer,until nineteen sixty,i felt triumphant,sense of calm,arms around her,this sense of,here in manhattan,said guess what,against the railing,the disconnect between,baguettes crunchy tortillas,traveled to marrakesh,against the railing,pulled a muscle
4,scissors someone shouted,jumble of emotions,onto the sidewalk,hook excuse me,i remember once,my story begins,righteous about anything,righteous about anything,am turning forty,april nineteen forty,the windowsill,my entire childhood,on some level,weeks became months,feeling of freedom,that i impress,ways of thinking,ways of thinking,ways of thinking,push him backwards,said guess what,recall many instances,my story begins,everything my parents,feeling of freedom,of nineteen fifty,seemed so exotic,sense of freedom,arms tighten around,these shifts in,here in boston,am turning forty,the back hatch,i felt connected,blonde hair dangling,sitting in indianapolis,feet hanging over,his painting sucked
5,i provoked gasps,finally the day,towards the doors,asked i laughed,there we were,habits and hobbies,can find happiness,neuroses and anxieties,i even googled,of nineteen fifty,onto the railing,poured our hearts,recall many instances,i was numb,imagine my joy,it felt magical,empathy and understanding,absorb the lesson,this horrific nightmarish,i reach down,scissors someone shouted,it felt magical,how it felt,and my upbringing,sense of calm,in nineteen sixty,disgust but pity,jumble of emotions,flying arms flailing,i felt empowered,was in boston,april nineteen forty,four connected squares,in our childhood,the water sloshing,went to boston,on the railing,like your shirt
6,somebody then yelled,what other people,towards the door,and three mississippi,felt so betrayed,a seismic shift,recall many instances,empathy and understanding,my story begins,of nineteen forty,outside the windows,the shitty feelings,in my childhood,we were walking,i impress everyone,imagine my joy,sense of satisfaction,no satisfying fantasies,growing up i,towards the door,hurry she exclaimed,answered many questions,berlin one evening,ever be ashamed,wanna understand life,july nineteen forty,a deep existential,answered many questions,hands gripped the,imagine my joy,off into vancouver,says excuse me,in long rows,felt so betrayed,his hands folded,was in boston,towards the doors,'s painting sucked
7,she started laughing,how it felt,outside the windows,she started laughing,our favorite childhood,a surprising realization,values and morals,of his memories,i was four,nineteen seventy,across the parking,my childhood,the shitty feelings,crowd fell silent,people ask me,feeling of freedom,remember being fascinated,sense of relief,the home stretch,the chopsticks flipped,retorted rather loudly,my school days,was like yes,the things we,mom my summer,of nineteen sixty,so my shrink,sense of relief,grabbed her legs,feeling isolated,moved to chicago,say one mississippi,path that jutted,feelings i had,snow was swirling,moved to vermont,seats behind,important like pudding
8,hook excuse me,many emotions running,towards the ceiling,say one mississippi,was pretty surreal,these alternate universes,happy and fulfilling,like something profound,google her and,until nineteen sixty,contain strip malls,about my feelings,growing up we,soon we were,that would ripple,years of babysitting,recall many instances,what our mothers,generations of trauma,towards the ceiling,room went silent,no satisfying fantasies,the year of,motivation after,like my life,to nineteen forty,i felt connected,my childhood,the chopsticks flipped,newfound freedom,back in manhattan,two mississippi three,the double doors,our favorite childhood,the chopsticks flipped,was in mexico,towards the door,a snake oil
9,i whirled around,ask them questions,long hallway toward,i said aha,recall many instances,of hopes fears,of my childhood,growing up i,religions i have,july nineteen forty,against the railing,good friends often,my first memory,i stepped off,were my family,and my upbringing,so many emotions,shame and resentment,recall many instances,i whirled around,says excuse me,my mom often,sense of relief,the things you,my summer,nine nineteen seventy,my newfound freedom,of my childhood,his hands folded,my plan for,went to boston,october nineteen forty,on the sides,one evening after,of hairballs floating,moved to chicago,lights peeking over,had some scarring
10,asked i laughed,these long existential,to the horizon,mississippi two mississippi,gives me hope,this horrific nightmarish,me their stories,cheer you up,googling her now,in nineteen fifty,on a rainy,in my childhood,empathy and understanding,off we moved,be remembered for,my entire childhood,kindness and humor,i felt connected,very vivid memories,elbows on knees,safe she scoffed,from our childhood,year two thousand,welcomed new experiences,my friends about,nineteen sixty,point my shrink,people whose ideas,grab his arms,remember being fascinated,was in mexico,was sixteen seventeen,a long narrow,of hopes fears,crusty baguettes crunchy,were in paris,to my left,ithe school motto
11,exhalation someone shouted,sense of freedom,see the horizon,say excuse me,a mental map,there we were,on some level,as a kid,me her number,of nineteen eighty,the rolling hills,crises and successes,ways of thinking,i push past,me to calm,my childhood,years of babysitting,generosity and compassion,my upbringing,on the railing,hook excuse me,growing up we,was like yeah,crush their spirits,like something profound,of nineteen forty,is very existential,questions like,a hand poking,newfound self esteem,back in boston,and three mississippi,that forms horizontal,was pretty surreal,everywhere like confetti,was in pennsylvania,situated herself behind,bready puns
12,retorted rather loudly,emotions running through,and high rafters,i said mmm,newfound self esteem,blah blah blah,like something profound,as a child,about googling yourself,nine nineteen seventy,beautiful moonlit mountains,newfound self esteem,values and morals,i was four,uh lemme explain,empathy and understanding,shame and resentment,recall many instances,horrific nightmarish,towards the doors,defense i exaggerated,good friends often,'m like hey,on some level,to be humble,on nineteen ninety,our creative path,feelings i had,my feet kicking,my story begins,sitting in indianapolis,five only twenty,long rows of,in my childhood,sugar cubes delicately,arrived in tokyo,you sit backward,liar fake
13,stopped midstride,remember being fascinated,towards the street,scissors someone shouted,sense of freedom,some uhh um,generosity and compassion,crush their spirits,i was fifteen,nineteenth nineteen forty,of the sidewalk,absorb the lesson,crush their spirits,the days passed,remember being fascinated,in their lives,crush their spirits,what my mother,in my childhood,he turns around,googling her googling,shaped their mind,i said fine,after a lifetime,remember that summer,'s nineteen forty,empathy and compassion,is ask questions,his hand curling,a seismic shift,arrived in indianapolis,april of nineteen,sixty foot wide,these long existential,it in cellophane,drove from vermont,to the horizon,sometimes disrespected me
14,turned and said,nervous feeling hit,over the gulf,said guess what,feeling of freedom,my most pivotal,welcomed new experiences,absorb the lesson,i was twenty,to nineteen forty,giant stone cliffs,giving me advice,i can remember,weeks went by,tourists snapping,can find happiness,of his memories,felt so relieved,things growing up,flipped it open,i said aha,everything my parents,was like hey,embrace this opportunity,else vonnegut once,nineteen ninety,i feel pity,started asking questions,grabbed their hands,that sense of,came to florida,mississippi three mississippi,spanding the length,many emotions running,fists clutching,here in boston,maybe twelve feet,fake name
15,hurry she exclaimed,sad wry hopefulness,to my left,said it blushing,i felt empowered,after mile after,some uhh um,growing up we,i was eleven,in nineteen seventy,a strip mall,about their life,absorb the lesson,more time passed,lemme explain,my my family,i felt connected,remember being fascinated,of his memories,he walks over,thought oh god,hurt and confused,of unbridled joy,newfound self esteem,sense of freedom,nineteenth nineteen forty,i felt strengthened,new sense of,grabbed her hand,children and santa,i left vermont,hook excuse me,put a board,a history lesson,chopsticks flipped and,living in chicago,at the ceiling,okay snake oil
16,behind me grabbed,how it feels,path that jutted,script excuse me,high school crush,someone once told,generations of trauma,newfound self esteem,virginity at twenty,'s nineteen forty,'s sprawling green,the chopsticks flipped,jumble of emotions,off we went,after a lifetime,i felt empowered,felt so relieved,i felt nervous,jumble of emotions,grabbed her legs,i stopped midstride,for something spiritual,was like bitch,kindness and humor,dispel a myth,of nineteen eighty,i felt protected,the family psychic,blanket and yanked,people often ask,here in houston,july nineteen forty,sky with clouds,so many emotions,wraps his arms,off into vancouver,towards the street,for bad puns
17,i started yelling,i felt nervous,beautiful moonlit mountains,room went silent,dad one evening,rejection rejection rejection,it felt magical,i felt nervous,'ve told girls,nineteen ninety,lobster pots piled,welcomed new experiences,my mind lately,room was quiet,i show them,sense of calm,sense of relief,mom often told,of our upbringing,throw it over,she yelled i,my whirlwind dating,test this hypothesis,i felt connected,uhh um,was nineteen eighty,in my view,this strange feeling,her hands gripped,thrill and relief,was in pennsylvania,up three down,between buttered slices,there we were,hair in pigtails,here in houston,of seats behind,of torn fishnet
