input,label
"I have a red sore right the outside of my vagina . I do shave , but am wondering if that 's an std. ? only one partner and have had std testing done before are child was born ( 1 year ago ) When in doubt always ask your ob/gyn .",1
Does anyone know if the `` Smart Smile '' Dental program is any good ? I am looking at Dental Insurance/ Dental discount programs and wonder if anyone has used the Dental Health Services `` Smart Smile '' Dental Plan ? I would love to hear any comments . Thanks nope ben there done that never better trust me it dosnet work at all,1
"can leukoplakia may come more than one place in mouth ? is there have any risk factor ? leukoplakia is in two cheeks and in tounge.in one cheek its reduced.now started as a small round in other cheek and tounge.right now using Vitamin A and Beta carotine . Are you HIV + , on chemo , renal failure ? Yes , you can have it all over your mouth . You need to know what is causing in.RN",1
call the fire department ? I have been smoking now for three years and I want to stop but I dont have the money to buy the products that can help me and advice 1-800-ACS-2345American Cancer Society 's Great American Smokeout : - ) '' This is who to call for help '',1
"What is Magic Johnson doing that many Hiv infected people are n't that is allowing hislife ? I noticed that he has kid ( s ) and his wife is HIV negative . But I also noticed that many people around the world are dying from this disease . What do you think he is doing that the other people worldwide are not ? That 's hard to say . It may be that he has HIV but has n't been infected with it . I know that is possible . Also , since he is wealthy and well-known , he likely has more access to drug therapies that may help him hold off the infection 's progress.As a world-class athlete ( at least then ) , his body may be able to better withstand the effects . Or he 's just unbelievably lucky . Take your pick .",1
"What is Trans Fat ? How to reduce that ? I heard that tras fat is bad for the body . Why is that ? Where can we find it in our daily food ? Trans fats occur in manufactured foods during the process of partial hydrogenation , when hydrogen gas is bubbled through vegetable oil to increase shelf life and stabilize the original polyunsatured oil . The resulting fat is similar to saturated fat , which raises `` bad '' LDL cholesterol and can lead to clogged arteries and heart disease . Until very recently , food labels were not required to list trans fats , and this health risk remained hidden to consumers . In early July , FDA regulations changed , and food labels will soon begin identifying trans fat content in processed foods .",1
"If a person breaks his or her neck or back , the spinal cord is always damaged ? Not always . There is usually trauma to the spinal cord , but it 's often just bruising and with the right treatment and stabilization of the fracture , it heals and the patient makes a full recovery . Sometimes there is no paralysis at all .",1
"do smoking make you lose muscle ? I have not heard of muscle loss because of smoking . I had a close friend who smoked a lot and now has a mouth full of dentures . His doctors also told him that smoking caused the premature destruction of collagen in his face and chin , which caused the skin , especially around the eyes , to sag more than normal . Collagen gets reduced because of age , but smoking seems to really hurt collagen in some people .",1
"my girlfriend has been falling asleep at the wheel lately ? is there anything she can take to stop this ? She has hypoglycemia , and she 's almost chronically fatigued . She 's been in two car accidents in the past week and she desperately needs something to keep her awake . Any suggestions would be very , very appreciated . She should have her thyroid checked as well .",1
"i have skin irritation on my bikini are , is not that itch or anything , it is always litle black dot , n pimple ? hii think it could be due to kind of cloth irritationor as you say its not itch so chances of any kind of allergy and irritation by fabric are very little , usually a black dot and pimple can occur in many conditon like small cyst or any kind of warts , so better consult dermatologist , do you have any other synptoms like fever , pain , burning sensation during urination , any discharge from genital area , ,if yes then you should consult doctor , thank you very much",1
