input,label
Rossi:  #39;I #39;m fairly happy #39;,1
Injured Toomer might be able to play tomorrow,1
Mears wins Busch pole,1
Singh looking to finish year in style,1
Sheffield day to day with sprained left ankle,1
Goosen takes lead in the BMW Open,1
Coleman Enjoys Fulhams Battling Display,1
Utah Caps Unbeaten Season With Rout of BYU (AP),1
Deportivo La Corua 0-1 Liverpool: FT Report,1
The Wayne Rooney era begins at Manchester United,1
"Giants win 6th straight, but Schmidt is injured",1
Miller Takes Fourth Win in Five Races,1
Wilko in doubt,1
Today in Athens,1
"Giants 27, Browns 10",1
Sprint is chock full of potential heros,1
AL Wrap: Oakland's Durazo Piles on Misery for Baltimore,1
"One of nation #39;s hottest coaches, Tedford will shock nation and &lt;b&gt;...&lt;/b&gt;",1
Eriksson doesn #39;t feel any extra pressure following scandal,1
Jim Mora #39;s lucky star Falcons need a healthy Michael Vick,1
They've caught his eye,1
Gregg: I will help to close deal,1
Hokies making statement about ACC title intentions,1
Buckeyes have lots to replace but are brimming with optimism,1
Ravens Get Rest,1
Warner Will Start for Giants in Opener,1
Wariner Succeeds Johnson as 400 Meter Champion,1
Button decision delayed,1
Harrison keeps title for fifth time,1
Bonds MVP Award Provides Sparkle in Tainted Season,1
Broncos DT Elliss Out for the Season,1
"Baseball-Ichiro Breaks Hits Record, Adds Single",1
China Wins Paralympics,1
Radcliffe withdrawal not due to injury,1
Mini World Cup heats up,1
Pierce hunts down Sharapova,1
Ulmer storms to gold,1
US MNT Streaking Into Final Round,1
Stellar Putting Gives Europe a 2 - 0 Ryder Cup Lead,1
Moya Upset in First Round of China Open (AP),1
Yankees' Brown Has Successful Surgery,1
It's always something with Sox,1
Ferrero upset in second round at China Open,1
"Ichiro with 260 hits, Writes First New Chapter in 84 Years",1
Junqueira sets up Champ Car final,1
Warner to Start for Giants This Week (AP),1
"Olympic Daily Preview - Thursday, August 19",1
Ghostzapper Has Speed to Burn,1
Aussie quartet put India on back foot,1
Japan #39;s baseball players avert another strike,1
"GAME DAY RECAP Sunday, August 22",1
Judge Declines to Dismiss Steroid Case (AP),1
Kederis proclaims innocence,1
Marzeoti (4 TDs) paces Shawsheen,1
"For Dempsey, soccer impasse qualifies as a concern",1
Auburn is likely the odd team out,1
Marquee Matchup,1
England sweeps Zims,1
Martin wins second straight race,1
San Diego Chargers,1
Emmons loses gold medal after aiming at wrong target,1
Bucs decline option on reliever Boehringer,1
Boston Red Sox Team Report - September 24,1
Silvestre #39;s double goals help Man. United beat Liverpool,1
ROGER #39;S READY,1
Wallace fined for Newman collision.,1
Mumbai set for battle,1
Egypt names former player Shehata as caretaker coach,1
Weis Sues Doctors,1
Wright ready to cash in after win,1
Wakefield goes deep this time,1
"Schilling, Morris face tall task",1
Van driven by Arsenal quest for glory,1
Singer: Minaya returns home,1
Vijay Singh seeks ninth win of 2004,1
Tigers celebrating after Beavers don #39;t get their kicks,1
"Phelps, fellow Olympians swimming again",1
Delhomme Questionable Against Cardinals (AP),1
Bearcat qb has broken bone in throwing hand,1
Wharf marks debut with wickets,1
Miller Wins Giant Slalom After Maier Falters,1
"NL Wrap: Backe Pitches, Hits Astros to Win Over Reds",1
Roundup: Pleasantly Perfect takes Pacific Classic,1
Anticipation nation,1
This could be the week for a Patriots loss,1
Utes Pile It On,1
Greene Leads No. 8 Georgia to Rout of Kentucky,1
UPDATE 2-Spaniards Garcia and Lara share Volvo Masters lead,1
NCAA Wrong To Close Book On Williams,1
AL Wrap: Ortiz Fuels Red Sox Fire as Blue Jays Go Down (Reuters),1
CSKA sponsor rejects criticism,1
Boston Red Sox outperform their owner #39;s funds,1
Perez struggles against the Cardinals,1
Ramirez should be taking it to heart,1
A  #39;new Greece #39; beams after success of Games,1
Browns' Dawson got feet wet with Vinatieri,1
UPDATE 1-Beck to face Youzhny in St Petersburg final,1
Louisiana Tech Bulldogs,1
Australian Open Exec Says Clijsters Out (AP),1
Cahill Could Be in the Clear,1
Socceroos lead at break,1
"Green Tosses 3 Touchdown Passes, Chiefs Down Titans",1
"Crystal Palace 0, Charlton Athletic 1",1
Gatlin Sprints from Unknown to Olympic Gold,1
Cavaliers activate Wagner again,1
Costecu Makes It Two,1
"Russell moving on, away from Lakers",1
Astros Try to Go Up 2-0 Over Braves (AP),1
Britain Edges U.S. for 400M Relay Gold (AP),1
U.S. Forced to Battle for Ryder Cup Survival,1
Rockets' McGrady Puts on Memorable Finish (AP),1
Closing Ceremonies,1
WEEK 6: Pregame show hits the road for Seattle-New England,1
"Safin, Petrova upset in Kremlin Cup",1
Zimbabwe cricket tour collapses,1
"Gray, Demon Deacons Swing Back In Action, Seek To Shoot Down &lt;b&gt;...&lt;/b&gt;",1
Dawgs get Gators off their back,1
It #39;s got to be Cole on the left,1
FAMILIAR? Braves #39; tune is postseason dirge again,1
Hamilton Wins Cycling Time Trial Event,1
"In OT, first-minute men lift UMass",1
No. 6 Syracuse Crushes N. Colo. 104-54,1
My 50 random musings on the final major championship of the year,1
Guinn #39;s lack of fire does him in,1
Carly Patterson Wins the Women's All-Round,1
Brett Favre Shines as Green Bay Mauls St. Louis,1
Real eager to silence doubting supporters,1
"Rangers Sign Weekes, Bolster Goaltending (AP)",1
Kidd #39;s lack of playing time hurting Nets,1
It #39;s plain: Rain helps Red Sox Boston thinks it gained an edge &lt;b&gt;...&lt;/b&gt;,1
Butt waits on Uefa ruling,1
McCain Optimistic About Steroid Test Deal (AP),1
Joyous Red Sox Fans Celebrate Clean Sweep Over Angels,1
Two Michigan State receivers arrested on bomb-making charges,1
Hamm hopes to get on a roll,1
Gerrard available for Reds,1
ROBBO USHERS IN NEW ERA,1
Johnson to request release or trade,1
UPDATE 2-Cricket-Malik reported for suspect action,1
England held up in Zimbabwe,1
Expectations too lofty for unlucky Willingham,1
DEFOE DRIVES SPURS HOME,1
Flu sidelines Clemens on Sunday,1
Game swings back and forth as Giteau toys with England  #39;s defence,1
Patriots Place Sam on Injured Reserve,1
Button Must Stay With BAR!,1
Nebraska Player Charged With Assault,1
Chelsea advances in Champions League,1
"We can win the series, says Ganguly",1
IAAF to increase anti-doping measures,1
Pot charge dropped against Anthony,1
"Woods, Mickelson form dynamic US duo",1
"CFL erred, Stamps still losers",1
UPI NewsTrack Sports,1
Ohio State #39;s big plays kill Wolverines,1
Madrid draw with Villarreal to retain 2nd place,1
Busch Wins Pole for Season-Ending Race,1
Mighty Ortiz makes sure Sox can rest easy,1
Benitez Plans Tactical Overhaul,1
Jags #39; Leftwich likely to start on Sunday,1
Woods struggling to cope with body changes: Singh,1
Rejuvenated Real out to start scoring goals,1
Greek sprinters quit to end Games scandal,1
Motorsport: Loeb matches record season,1
Afghan women make brief Olympic debut,1
Giants Hold On to Warner,1
NHL Owner Is Criticized for Talking of Replacement Players,1
Another controversial Man Utd-Arsenal game,1
