input,label
Saudis Take a Small Dose of Democracy,1
"22 killed, 100 injured in Nagaland twin blasts :",1
West Japan on Guard for Aftershocks After Quakes,1
E. Guinea coup suspects say they were tortured,1
FEC Wants Campaign Finance Decision Stayed (AP),1
Africa brings Sudanese parties to the table as UN sanctions loom (AFP),1
Argentina Basketball Coach Magnano Quits,1
EU to talk through asylum plans,1
Politics an Afterthought Amid Hurricane (AP),1
U.N. War Court Transfers First Case to Serbia,1
7 U.S. Groups Ask U.N. for Vote Observers (AP),1
Gujarat riot murder retrial opens,1
How long will the pop press stomach the horrors of Iraq?,1
Show lights up Paralympics,1
"Grenada In Crisis - Friday 10, September-2004",1
Public warning over letter bombs,1
Four men held over Jakarta bomb,1
ERA Congratulates Nobel Peace Prize Winner,1
Stocks Edge Higher As Oil Prices Retreat,1
Pakistan arrests key Al-Qaeda operative (AFP),1
Shifting signs in North Korea,1
Poland to Reduce Number of Troops in Iraq (Reuters),1
Passing of Arafat Draws Mixed Reactions (AP),1
Pakistan al-Qaeda suspect killed,1
"Russian millionaire's party heads Lithuania poll, but coalition needed (AFP)",1
Scientist Ramanna mourned,1
U.S. Seeks Reconciliation with Oil-Rich Venezuela,1
Alert shuts Los Angeles airport,1
Gaddafi to Compensate Libyan Jews for Lost Homes (Reuters),1
"UK satisfied with peace process, says Hoon",1
Dutch security reviewed on threat,1
Bangladesh bars female swim,1
Terms of Endearment,1
US forces bomb Falluja,1
Saddam #39;s aides set to go on trial,1
Danish group #39;s gift criticized,1
President terms Farooqi #39;s death big achievement,1
Accusations of Fraud Mar Afghan Election,1
Schrder adopts Russian orphan,1
"New Chechen Leader Vows Peace, Poll Criticized",1
China warns Singapore officials against future visits to Taiwan (AFP),1
Hamas official killed in blast,1
Queen Urges Thais to Help Govt. Fight Muslim Unrest,1
"India, Myanmar sign three accords",1
Romania Faces Hung Parliament Risk After Vote,1
More African troops go to Darfur,1
Experts dampen bird flu fears,1
France #39;s American problem,1
Mauritania coup kingpin held,1
Putin signs up Russia for Kyoto pact,1
"Bush, Kerry Bow to McCain's Wishes on Ads",1
No Peace Until S.Korea Explains Atomic Tests-North,1
Pacifist Japan boosts  #39;self-defence #39; measures,1
World's oldest man dies aged 113,1
Iraq cleric 'to end Najaf revolt',1
One held in Jakarta embassy blast probe,1
At Least 24 Killed Morocco Bush Crash (AP),1
Powell accuses Iran of trying to develop nuclear missiles,1
Austria to Extradite Turkish Underworld Figure,1
Chirac puts retirement on hold,1
Telescope snaps distant 'planet',1
Revolving Door,1
Israeli Army Kills 5 Palestinians in Gaza,1
Pitcairn trial views police interview tape,1
French captives #39; fate mulled,1
Karzai's Running Mate Survives Attack,1
Fini named Italy foreign minister,1
Australian employee of Canadian oil company reportedly abducted in Yemen (Canadian Press),1
"Militia, Shiite Leaders Bicker Over Shrine",1
Israeli Labour party could clinch coalition deal with Sharon  #39;in &lt;b&gt;...&lt;/b&gt;,1
Attack on UN vehicle kills one in southern Afghanistan,1
Afghan officials meet kidnappers to seek release of UN workers &lt;b&gt;...&lt;/b&gt;,1
Harrowing footage shows Hassan pleading for her life,1
Pakistan not for open-ended arms race: spokesman,1
Haitian storm survivors give thanks,1
Sudan Reportedly Hiding Arab Fighters in Southern Sudan,1
Gay Marriage Issue Motivates Conservatives,1
"In Controversial Move, Britain Says  #39;Yes #39; to Troop-Redeployment &lt;b&gt;...&lt;/b&gt;",1
Israel Says It Attacked Islamic Jihad Leader (Reuters),1
Arafat Buried in Chaotic Scenes in West Bank (Reuters),1
Yellowknife parole officer found dead after visiting client in apartment (Canadian Press),1
Nursery rhymes more violent than TV (Reuters),1
More dead in fresh Iraq violence,1
Sharon 'at risk of assassination',1
Lackluster Jobs Report Pushes Stocks Down,1
Australian guilty of backpacker murder,1
Japanese citizen reportedly taken hostage in Iraq,1
Turkey eyes \$15 billion investment years,1
An ominous watershed? 4 more years of trauma?,1
Iraqi Forces Foundering in Face of Killings and Threats by Rebels,1
Pinochet questioned by investigative judge,1
"Bush, Lawmakers Discuss Social Security (AP)",1
Three Egyptian policemen killed by Israeli tank fire near border (AFP),1
PM Promotes His Image of Mostly Safe Iraq (AP),1
IRA Willing to Disarm by Month #39;s End,1
Iranian bill backs nuclear drive,1
US soldiers in Iraq murder probe,1
"US,  #39;EU-three #39; agree on demand",1
Something Positive in Zanu Pf,1
"Chirac, in Beijing, Signs Accords to Increase French Investment",1
Germany deports Turkey militant,1
German leader to arrive in China,1
EU Unveils Plans for New Banana Tariffs (AP),1
Shaukat Aziz gets vote of confidence,1
