input,label
"what is the best band around today and why ? I think that the best band around for the moment and probably for a long time is Linkin Park . Their music is uplifting and has helped many people just with the lyrics alone . They are different and not like any other band today . I know that they have helped me through some rough times in life just with their music . I had the opportunity just this last weekend to meet Mike Shinoda ( the MC of LP ) with his side project group Fort Minor in St. Paul , MN . He is very humble and does n't act like any other artist out there today .",1
"Another Riddle ? I 'm the tool , for inspiring many . Buy me in the store , for not much more than a penny . Do n't overuse me , or my usefulness will go , what am I ? Do you know ? Pencil or pen.But I think they cost more than that , these days.Edit > Perhaps a piece of paper .",1
who is a better guitar player ? ? steve vai or jimi hendrix ? ? they are both immeasurably soulful and talented ! one ca n't choose a `` better '' player ! I think Vai took the instrument to another level ; fusing grungy blues w/astonishing finger/string ACTION ! !,1
"Anyone know what kind ( breed ) of dog Pluto - ( the Disney character ) is ? Just curious ... ? And Goofy does n't own him , Mickey does ! ( see one of the answers for : http : //answers.yahoo.com/question/ ; _ylt=AiDHstVhDCXpNHRyMBiFLWQezKIX ? qid=1006020201679Just letting the answerer know . ; ) blood houndMickey 's faithful pet dog Pluto starred in 48 of his own cartoons , but also appeared along with Mickey Mouse and Donald Duck in many of their cartoons . Pluto was created as an actual dog character , with no speaking voice , as opposed to Goofy , who was created as a human character . The dog who would eventually evolve into Pluto made his debut as a bloodhound in the Mickey Mouse cartoon `` The Chain Gang '' in 1930 . Later that year he appeared as Minnie Mouse 's dog , Rover , in `` The Picnic , '' and the following year finally became Mickey 's dog Pluto in `` The Moose Hunt . '' Favorite sayings : `` Grrr ... '' `` Snort ! '' `` Sniff , sniff , sniff ... '' `` Bark ! Bark ! ''",1
"What is Malcom 's last name from Malcom in the middle ? I just looked that up , cuz I never knew that before either . I actually never thought about it ! But it is Wilkerson . It says here :",1
"how old is mark hoppus ? Markus Allan Hoppus was born March 15 , 1972 in Ridgecrest , California . So that would make him 33 at the moment , but his birthday is coming up soon !",1
"Do young adults AGE 18-29 watch cartoons ? Is it normal for people 18-29 to watch cartoons ? I like Simpsons , Happy tree friends & friends and Family Guy but also watch other cartoons designed for kids bscause I hate MTV and them talk shows.Unless there is G4 something good . Sure , why not ? It 's entertaining , and often ( but not always ) less offensive than a lot of what 's out there . As long as you 're feeding your mind , what 's the harm ?",1
What is television 's most watched network ? CBS,1
"does any one who watches american idol know the # 's accociated w/ each contestant ? I want to vote. ? Here ya go..866-436-5701 Patrick5702- David5703- Bucky5704- Will5705- Jose'5706- Chris5707- Kevin5708- Gedeon5709- Elliot5710- Bobby5711- Ace5712- TaylorI always keep track ! I voted for Chris , Gedeon , Ace , and Taylor ... Ace is soooooo good looking , and has a great voice to go with it !",1
"Anyone ever heard of , The Rugbys ? If so , youre atleast 40 . What is your favorite song ? No , where are they from ?",1
What begins with P and ends with E and has millions of letters in it ? post office,1
what the best website of guns n roses ? Here is their official website-http : //www.gnronline.com/Have a nice day .,1
Who thinks smartjoe154 is cool ? Not me,1
Your chance to name a band ... ? Please suggest a band name for an acoustic rock/ alternative type band . The best name gets the 10 points . Thanks . Franklin 's Experiment,1
